TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
0,10011355,0,50,0,0,0,0,0,0,0,0,250,251,252,253,253,127,247,255,0,0,0,0,0,0,0,0,250,251,252,253,253,127,247,255
5,10022728,0,50,255,254,0,0,255,252,30,0,0,30,255,255,0,56,26,0,255,236,0,1,0,39,26,0,0,1,0,0,255,251,29,0
10,10033834,0,50,255,254,0,0,255,252,30,0,0,30,255,255,0,56,26,0,255,236,0,1,0,39,26,0,0,1,255,255,0,29,29,0
15,10044728,0,50,255,254,0,0,255,252,30,0,0,26,255,193,0,41,27,0,255,237,0,38,0,38,27,0,0,1,255,255,0,29,29,0
20,10056053,0,50,255,254,0,0,255,253,30,0,0,24,255,218,0,57,27,0,255,239,0,19,0,62,27,0,0,1,255,254,0,51,29,0
25,10066727,0,50,255,254,0,0,255,253,30,0,0,24,255,218,0,57,27,0,255,239,0,19,0,62,27,0,0,1,255,254,0,51,29,0
30,10077728,0,50,255,254,0,3,0,6,30,0,0,21,255,208,0,19,27,0,255,239,0,0,0,51,27,0,0,1,255,254,0,73,29,0
35,10088727,0,50,255,254,0,3,0,6,30,0,0,21,255,208,0,19,27,0,255,239,0,0,0,51,27,0,0,1,255,254,0,73,29,0
40,10099728,0,50,255,255,0,2,0,6,30,0,0,20,255,250,0,26,27,0,255,240,0,20,255,249,27,0,0,0,255,220,0,23,29,0
45,10110728,0,50,255,255,0,2,0,6,30,0,0,20,255,250,0,26,27,0,255,240,0,20,255,249,27,0,0,0,255,220,0,23,29,0
50,10121728,0,50,255,255,255,254,0,8,30,0,0,20,0,6,255,241,27,0,255,241,0,2,0,10,27,0,255,255,255,251,0,108,29,0
55,10132727,0,50,255,255,255,254,0,8,30,0,0,20,0,6,255,241,27,0,255,241,0,2,0,10,27,0,255,255,255,251,0,108,29,0
60,10143727,0,50,255,254,255,253,0,15,30,0,0,20,0,5,0,4,27,0,255,241,0,2,0,10,27,0,255,255,255,253,0,126,29,0
65,10155054,0,50,255,254,255,253,0,15,30,0,0,22,0,29,0,13,27,0,255,240,255,253,0,0,27,0,255,254,255,234,0,104,29,0
70,10165728,0,50,255,254,0,0,0,34,30,0,0,22,0,29,0,13,27,0,255,240,255,253,0,0,27,0,255,254,255,234,0,104,29,0
75,10176834,0,50,255,254,0,0,0,28,30,0,0,22,0,0,0,44,27,0,255,240,0,0,0,14,27,0,255,253,255,254,0,166,29,0
80,10187728,0,50,255,254,0,0,0,28,30,0,0,22,0,0,0,44,27,0,255,240,0,0,0,14,27,0,255,253,255,254,0,166,29,0
85,10198728,0,50,255,254,0,0,0,39,30,0,0,22,0,1,0,62,27,0,255,240,0,0,0,32,27,0,255,252,255,235,0,144,29,0
90,10209728,0,50,255,254,0,0,0,39,30,0,0,22,0,1,0,62,27,0,255,240,0,0,0,32,27,0,255,252,255,235,0,144,29,0
95,10220728,0,50,255,254,0,0,0,49,30,0,0,22,0,6,0,70,27,0,255,240,0,0,0,39,27,0,255,252,255,253,0,210,29,0
100,10231728,0,50,255,254,0,0,0,49,30,0,0,22,0,6,0,70,27,0,255,240,0,0,0,39,27,0,255,252,255,253,0,210,29,0
105,10242727,0,50,255,254,255,255,0,50,30,0,0,23,0,10,0,106,27,0,255,240,255,253,0,45,27,0,255,251,255,249,0,223,29,0
110,10253834,0,50,255,254,255,255,0,50,30,0,0,23,0,10,0,106,27,0,255,240,255,253,0,45,27,0,255,250,255,231,0,231,29,0
115,10264728,0,50,255,254,255,255,0,50,30,0,0,25,0,38,0,75,27,0,255,240,0,0,0,67,27,0,255,250,255,231,0,231,29,0
120,10276053,0,50,255,252,255,231,0,40,30,0,0,28,0,49,0,56,27,0,255,240,0,1,0,78,27,0,255,248,255,242,1,0,29,0
125,10286728,0,50,255,252,255,231,0,40,30,0,0,28,0,49,0,56,27,0,255,240,0,1,0,78,27,0,255,248,255,242,1,0,29,0
130,10297727,0,50,255,251,255,218,255,254,30,0,0,32,0,60,0,70,27,0,255,240,0,0,0,89,27,0,255,246,255,218,0,240,29,0
135,10308728,0,50,255,251,255,218,255,254,30,0,0,32,0,60,0,70,27,0,255,240,0,0,0,89,27,0,255,246,255,218,0,240,29,0
140,10319728,0,50,255,249,255,238,0,44,30,0,0,36,0,64,0,40,27,0,255,240,255,255,0,100,27,0,255,244,255,213,0,240,30,0
145,10330728,0,50,255,249,255,238,0,44,30,0,0,36,0,64,0,40,27,0,255,240,255,255,0,100,27,0,255,244,255,213,0,240,30,0
150,10341727,0,50,255,248,255,217,255,248,30,0,0,40,0,66,0,56,27,0,255,240,0,0,0,115,27,0,255,242,255,235,1,45,30,0
155,10352728,0,50,255,248,255,217,255,248,30,0,0,40,0,66,0,56,27,0,255,240,0,0,0,115,27,0,255,242,255,235,1,45,30,0
160,10363727,0,50,255,246,255,235,0,37,30,0,0,44,0,59,0,50,27,0,255,240,0,0,0,115,27,0,255,240,255,217,1,41,30,0
165,10375053,0,50,255,246,255,235,0,37,30,0,0,48,0,54,0,74,27,0,255,240,255,255,0,137,27,0,255,239,255,236,1,76,30,0
