TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RightHip_pos_deg,RightHip_spd_eRPM,RightHip_spd_mech_RPM,RightHip_current_A,RightHip_temp_C,RightHip_err_code,RightHip_err_text,RightKnee_pos_deg,RightKnee_spd_eRPM,RightKnee_spd_mech_RPM,RightKnee_current_A,RightKnee_temp_C,RightKnee_err_code,RightKnee_err_text,LeftKnee_pos_deg,LeftKnee_spd_eRPM,LeftKnee_spd_mech_RPM,LeftKnee_current_A,LeftKnee_temp_C,LeftKnee_err_code,LeftKnee_err_text,LeftHip_pos_deg,LeftHip_spd_eRPM,LeftHip_spd_mech_RPM,LeftHip_current_A,LeftHip_temp_C,LeftHip_err_code,LeftHip_err_text
0,10011355,0,50,0.0,0.0,0.0,0.0,0,0,OK,-128.5,-7710.0,-367.143,-6.41,-9,255,Unknown(255),0.0,0.0,0.0,0.0,0,0,OK,-128.5,-7710.0,-367.143,-6.41,-9,255,Unknown(255)
5,10022728,0,50,-0.2,0.0,0.0,-0.04,30,0,OK,3.0,-10.0,-0.476,0.56,26,0,OK,-2.0,10.0,0.476,0.39,26,0,OK,0.1,0.0,0.0,-0.05,29,0,OK
10,10033834,0,50,-0.2,0.0,0.0,-0.04,30,0,OK,3.0,-10.0,-0.476,0.56,26,0,OK,-2.0,10.0,0.476,0.39,26,0,OK,0.1,-10.0,-0.476,0.29,29,0,OK
15,10044728,0,50,-0.2,0.0,0.0,-0.04,30,0,OK,2.6,-630.0,-30.0,0.41,27,0,OK,-1.9,380.0,18.095,0.38,27,0,OK,0.1,-10.0,-0.476,0.29,29,0,OK
20,10056053,0,50,-0.2,0.0,0.0,-0.03,30,0,OK,2.4,-380.0,-18.095,0.57,27,0,OK,-1.7,190.0,9.048,0.62,27,0,OK,0.1,-20.0,-0.952,0.51,29,0,OK
25,10066727,0,50,-0.2,0.0,0.0,-0.03,30,0,OK,2.4,-380.0,-18.095,0.57,27,0,OK,-1.7,190.0,9.048,0.62,27,0,OK,0.1,-20.0,-0.952,0.51,29,0,OK
30,10077728,0,50,-0.2,30.0,1.429,0.06,30,0,OK,2.1,-480.0,-22.857,0.19,27,0,OK,-1.7,0.0,0.0,0.51,27,0,OK,0.1,-20.0,-0.952,0.73,29,0,OK
35,10088727,0,50,-0.2,30.0,1.429,0.06,30,0,OK,2.1,-480.0,-22.857,0.19,27,0,OK,-1.7,0.0,0.0,0.51,27,0,OK,0.1,-20.0,-0.952,0.73,29,0,OK
40,10099728,0,50,-0.1,20.0,0.952,0.06,30,0,OK,2.0,-60.0,-2.857,0.26,27,0,OK,-1.6,200.0,9.524,-0.07,27,0,OK,0.0,-360.0,-17.143,0.23,29,0,OK
45,10110728,0,50,-0.1,20.0,0.952,0.06,30,0,OK,2.0,-60.0,-2.857,0.26,27,0,OK,-1.6,200.0,9.524,-0.07,27,0,OK,0.0,-360.0,-17.143,0.23,29,0,OK
