Date & Time,   System Log,   Charge MOS Status,   Discharge MOS Status,   Balance Status,   Heating Status,   Max Cell Voltage No,   Min Cell Voltage No,   Max Cell Voltage,   Min Cell Voltage,   Battery Voltage,   Battery Current,   SOC Cap. Remain,   SOC Full Charge Cap.,   Max Temp,   Min Temp,   Temp MOS,   Heat Current
2025-11-19 16:09:20,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   8,   3.6,   3.6,   46.9,   -0.7,   1.8,   3.0,   26,   26,   29,   0.0
2025-11-19 16:09:26,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   11,   3,   3.6,   3.6,   47.0,   -0.3,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:09:32,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   3,   7,   3.6,   3.6,   46.8,   -0.9,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:09:38,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   11,   1,   3.6,   3.6,   47.1,   -0.5,   1.8,   3.0,   26,   26,   29,   0.0
2025-11-19 16:09:44,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   5,   12,   3.6,   3.6,   46.9,   -0.7,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:09:50,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   1,   3.6,   3.6,   46.9,   -0.2,   1.8,   3.0,   26,   26,   29,   0.0
2025-11-19 16:09:56,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE OFF,   HEAT OFF,   4,   0,   3.6,   3.6,   46.8,   -1.0,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:02,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   12,   9,   3.6,   3.6,   47.0,   -0.1,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:08,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   2,   0,   3.6,   3.6,   46.7,   -0.8,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:14,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   2,   3.6,   3.6,   46.8,   -0.3,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:20,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   3,   0,   3.6,   3.6,   46.6,   -0.4,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:26,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   6,   3.6,   3.6,   47.1,   -0.1,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:32,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   11,   0,   3.6,   3.6,   47.0,   -0.5,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:38,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   1,   3.6,   3.6,   47.0,   -0.2,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:44,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   1,   2,   3.6,   3.6,   46.6,   -0.4,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:50,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   3,   3.6,   3.6,   46.7,   -0.2,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:10:56,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   1,   10,   3.6,   3.6,   46.9,   -0.5,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:02,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   1,   3.6,   3.6,   46.9,   -0.1,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:08,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   11,   0,   3.6,   3.6,   46.7,   -0.7,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:14,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   7,   3.6,   3.6,   47.0,   -0.1,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:20,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE OFF,   HEAT OFF,   11,   10,   3.6,   3.6,   46.6,   -0.5,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:26,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   1,   3.6,   3.6,   46.9,   -0.3,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:32,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   3,   0,   3.6,   3.6,   46.7,   -0.6,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:38,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   11,   1,   3.6,   3.6,   46.7,   -0.1,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:44,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   10,   12,   3.6,   3.6,   46.9,   -0.7,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:50,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   1,   3.6,   3.6,   46.8,   -0.4,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:11:56,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   12,   0,   3.6,   3.6,   46.9,   -0.5,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:02,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   12,   11,   3.6,   3.6,   46.7,   -0.6,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:08,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   2,   0,   3.6,   3.6,   46.7,   -0.7,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:14,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   1,   3.6,   3.6,   46.9,   -0.9,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:20,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   5,   1,   3.6,   3.6,   46.9,   -0.6,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:26,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   1,   11,   3.6,   3.6,   46.5,   -0.5,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:32,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   1,   11,   3.6,   3.6,   46.9,   -0.3,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:38,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   6,   3.6,   3.6,   46.7,   -0.9,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:44,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   1,   0,   3.6,   3.6,   46.7,   -0.6,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:50,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   0,   1,   3.6,   3.6,   46.8,   -0.8,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:12:56,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   4,   0,   3.6,   3.6,   46.8,   -0.4,   1.8,   3.0,   26,   25,   29,   0.0
2025-11-19 16:13:02,   Unknown Log Code [0],   CHG ON,   DSG ON,   BALANCE ON,   HEAT OFF,   12,   1,   3.6,   3.6,   46.6,   -0.8,   1.8,   3.0,   26,   25,   29,   0.0
