TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RightHip_pos_deg,RightHip_spd_eRPM,RightHip_spd_mech_RPM,RightHip_current_A,RightHip_temp_C,RightHip_err_code,RightHip_err_text,RightKnee_pos_deg,RightKnee_spd_eRPM,RightKnee_spd_mech_RPM,RightKnee_current_A,RightKnee_temp_C,RightKnee_err_code,RightKnee_err_text,LeftKnee_pos_deg,LeftKnee_spd_eRPM,LeftKnee_spd_mech_RPM,LeftKnee_current_A,LeftKnee_temp_C,LeftKnee_err_code,LeftKnee_err_text,LeftHip_pos_deg,LeftHip_spd_eRPM,LeftHip_spd_mech_RPM,LeftHip_current_A,LeftHip_temp_C,LeftHip_err_code,LeftHip_err_text
110,10253832,0,50,1.0,-390.0,-18.571,0.51,33,0,OK,3.2,550.0,26.19,0.24,28,0,OK,-2.1,0.0,0.0,0.33,28,0,OK,-1.6,-60.0,-2.857,1.8,33,0,OK
115,10264726,0,50,1.0,-390.0,-18.571,0.51,33,0,OK,3.2,550.0,26.19,0.24,28,0,OK,-2.1,0.0,0.0,0.33,28,0,OK,-1.6,-60.0,-2.857,1.8,33,0,OK
120,10275728,0,50,0.8,-260.0,-12.381,0.95,33,0,OK,3.5,550.0,26.19,0.37,28,0,OK,-2.1,10.0,0.476,0.48,28,0,OK,-1.7,-160.0,-7.619,2.15,32,0,OK
125,10286726,0,50,0.8,-260.0,-12.381,0.95,33,0,OK,3.5,550.0,26.19,0.37,28,0,OK,-2.1,10.0,0.476,0.48,28,0,OK,-1.7,-160.0,-7.619,2.15,32,0,OK
130,10297726,0,50,0.5,-430.0,-20.476,0.49,33,0,OK,3.9,550.0,26.19,0.24,28,0,OK,-2.1,-30.0,-1.429,0.55,28,0,OK,-1.8,-80.0,-3.81,2.1,32,0,OK
135,10308728,0,50,0.5,-430.0,-20.476,0.49,33,0,OK,3.9,550.0,26.19,0.24,28,0,OK,-2.1,-30.0,-1.429,0.55,28,0,OK,-1.8,-80.0,-3.81,2.1,32,0,OK
140,10319728,0,50,0.3,-460.0,-21.905,0.49,33,0,OK,3.9,550.0,26.19,0.24,28,0,OK,-2.1,-120.0,-5.714,0.45,28,0,OK,-1.9,-190.0,-9.048,2.32,32,0,OK
145,10331050,0,50,0.3,-460.0,-21.905,0.49,33,0,OK,4.5,440.0,20.952,0.2,28,0,OK,-2.2,-30.0,-1.429,0.7,28,0,OK,-2.0,-150.0,-7.143,2.62,32,0,OK
150,10341728,0,50,0.1,-250.0,-11.905,0.53,33,0,OK,4.5,440.0,20.952,0.2,28,0,OK,-2.2,-30.0,-1.429,0.7,28,0,OK,-2.0,-150.0,-7.143,2.62,32,0,OK
155,10352832,0,50,0.0,-330.0,-15.714,0.75,33,0,OK,4.9,510.0,24.286,0.16,28,0,OK,-2.3,-40.0,-1.905,0.79,28,0,OK,-2.2,-360.0,-17.143,2.07,32,0,OK
160,10363726,0,50,0.0,-330.0,-15.714,0.75,33,0,OK,4.9,510.0,24.286,0.16,28,0,OK,-2.3,-40.0,-1.905,0.79,28,0,OK,-2.2,-360.0,-17.143,2.07,32,0,OK
165,10374726,0,50,-0.1,-270.0,-12.857,0.23,33,0,OK,5.3,640.0,30.476,0.26,28,0,OK,-2.3,-90.0,-4.286,0.77,28,0,OK,-2.4,-350.0,-16.667,2.32,32,0,OK
170,10385726,0,50,-0.1,-270.0,-12.857,0.23,33,0,OK,5.3,640.0,30.476,0.26,28,0,OK,-2.3,-90.0,-4.286,0.77,28,0,OK,-2.4,-350.0,-16.667,2.32,32,0,OK
175,10396726,0,50,-0.4,-220.0,-10.476,0.81,33,0,OK,5.6,450.0,21.429,0.67,28,0,OK,-2.4,-30.0,-1.429,1.02,28,0,OK,-2.7,-310.0,-14.762,2.98,32,0,OK
180,10407726,0,50,-0.4,-220.0,-10.476,0.81,33,0,OK,5.6,450.0,21.429,0.67,28,0,OK,-2.4,-30.0,-1.429,1.02,28,0,OK,-2.7,-310.0,-14.762,2.98,32,0,OK
185,10418728,0,50,-0.5,-400.0,-19.048,0.32,33,0,OK,5.8,410.0,19.524,0.39,28,0,OK,-2.4,-40.0,-1.905,1.11,28,0,OK,-2.8,-400.0,-19.048,2.77,32,0,OK
190,10429832,0,50,-0.5,-400.0,-19.048,0.32,33,0,OK,5.8,410.0,19.524,0.39,28,0,OK,-2.4,-40.0,-1.905,1.11,28,0,OK,-3.1,-400.0,-19.048,2.52,32,0,OK
195,10440728,0,50,-0.7,-110.0,-5.238,0.73,33,0,OK,6.1,430.0,20.476,0.48,28,0,OK,-2.4,-50.0,-2.381,1.21,28,0,OK,-3.1,-400.0,-19.048,2.52,32,0,OK
200,10451945,0,50,-0.7,-110.0,-5.238,0.73,33,0,OK,6.4,450.0,21.429,0.65,28,0,OK,-2.5,-210.0,-10.0,1.06,28,0,OK,-3.4,-350.0,-16.667,2.9,32,0,OK
205,10462728,0,50,-0.8,-330.0,-15.714,0.14,33,0,OK,6.4,450.0,21.429,0.65,28,0,OK,-2.5,-210.0,-10.0,1.06,28,0,OK,-3.4,-350.0,-16.667,2.9,32,0,OK
210,10473832,0,50,-1.0,-250.0,-11.905,0.49,33,0,OK,6.8,450.0,21.429,0.65,28,0,OK,-2.6,-50.0,-2.381,1.3,28,0,OK,-3.6,-330.0,-15.714,3.34,32,0,OK
215,10484726,0,50,-1.0,-250.0,-11.905,0.49,33,0,OK,6.8,450.0,21.429,0.65,28,0,OK,-2.6,-50.0,-2.381,1.3,28,0,OK,-3.6,-330.0,-15.714,3.34,32,0,OK
220,10495726,0,50,-1.0,-60.0,-2.857,0.52,33,0,OK,7.1,410.0,19.524,0.77,28,0,OK,-2.7,-310.0,-14.762,1.06,28,0,OK,-3.8,-430.0,-20.476,3.22,32,0,OK
225,10506726,0,50,-1.0,-60.0,-2.857,0.52,33,0,OK,7.1,410.0,19.524,0.77,28,0,OK,-2.7,-310.0,-14.762,1.06,28,0,OK,-3.8,-430.0,-20.476,3.22,32,0,OK
230,10517726,0,50,-1.2,-200.0,-9.524,0.46,33,0,OK,7.4,430.0,20.476,0.83,28,0,OK,-2.8,-270.0,-12.857,0.82,28,0,OK,-4.1,-450.0,-21.429,2.94,32,0,OK
235,10528728,0,50,-1.2,-200.0,-9.524,0.46,33,0,OK,7.4,430.0,20.476,0.83,28,0,OK,-2.8,-270.0,-12.857,0.82,28,0,OK,-4.1,-450.0,-21.429,2.94,32,0,OK
240,10539728,0,50,-1.3,-80.0,-3.81,0.59,33,0,OK,7.7,440.0,20.952,0.94,28,0,OK,-3.1,-290.0,-13.81,1.47,28,0,OK,-4.4,-510.0,-24.286,3.06,33,0,OK
245,10550945,0,50,-1.3,-80.0,-3.81,0.59,33,0,OK,7.7,440.0,20.952,0.94,28,0,OK,-3.3,-380.0,-18.095,1.02,28,0,OK,-4.7,-460.0,-21.905,3.04,33,0,OK
250,10561728,0,50,-1.5,-390.0,-18.571,0.23,33,0,OK,8.0,440.0,20.952,1.02,28,0,OK,-3.3,-380.0,-18.095,1.02,28,0,OK,-4.7,-460.0,-21.905,3.04,33,0,OK
255,10572945,0,50,-1.7,-290.0,-13.81,-0.02,33,0,OK,8.3,470.0,22.381,1.03,28,0,OK,-3.5,-360.0,-17.143,0.81,28,0,OK,-5.0,-440.0,-20.952,3.1,32,0,OK
260,10583728,0,50,-1.7,-290.0,-13.81,-0.02,33,0,OK,8.3,470.0,22.381,1.03,28,0,OK,-3.5,-360.0,-17.143,0.81,28,0,OK,-5.0,-440.0,-20.952,3.1,32,0,OK
265,10594728,0,50,-1.9,-220.0,-10.476,0.45,33,0,OK,8.7,540.0,25.714,0.9,28,0,OK,-3.7,-260.0,-12.381,1.41,28,0,OK,-5.3,-500.0,-23.81,3.13,33,0,OK
270,10605728,0,50,-1.9,-220.0,-10.476,0.45,33,0,OK,8.7,540.0,25.714,0.9,28,0,OK,-3.7,-260.0,-12.381,1.41,28,0,OK,-5.3,-500.0,-23.81,3.13,33,0,OK
275,10616728,0,50,-1.9,0.0,0.0,0.47,33,0,OK,9.0,530.0,25.238,0.74,28,0,OK,-3.9,-350.0,-16.667,1.11,28,0,OK,-5.7,-540.0,-25.714,3.19,33,0,OK
280,10627728,0,50,-1.9,0.0,0.0,0.47,33,0,OK,9.0,530.0,25.238,0.74,28,0,OK,-3.9,-350.0,-16.667,1.11,28,0,OK,-5.7,-540.0,-25.714,3.19,33,0,OK
285,10638726,0,50,-2.0,-70.0,-3.333,0.39,33,0,OK,9.4,570.0,27.143,0.73,28,0,OK,-4.2,-410.0,-19.524,1.03,28,0,OK,-6.0,-560.0,-26.667,3.45,32,0,OK
290,10649832,0,50,-2.0,-70.0,-3.333,0.39,33,0,OK,9.4,570.0,27.143,0.73,28,0,OK,-4.2,-410.0,-19.524,1.03,28,0,OK,-6.4,-570.0,-27.143,3.5,32,0,OK
295,10660726,0,50,-2.2,-340.0,-16.19,0.06,33,0,OK,9.8,570.0,27.143,0.92,28,0,OK,-4.4,-280.0,-13.333,1.34,28,0,OK,-6.4,-570.0,-27.143,3.5,32,0,OK
300,10671945,0,50,-2.2,-340.0,-16.19,0.06,33,0,OK,10.1,550.0,26.19,1.0,28,0,OK,-4.6,-370.0,-17.619,1.08,28,0,OK,-6.8,-690.0,-32.857,3.2,32,0,OK
305,10682726,0,50,-2.3,-10.0,-0.476,0.47,33,0,OK,10.1,550.0,26.19,1.0,28,0,OK,-4.6,-370.0,-17.619,1.08,28,0,OK,-6.8,-690.0,-32.857,3.2,32,0,OK
310,10693831,0,50,-2.3,0.0,0.0,0.56,33,0,OK,10.4,520.0,24.762,1.16,28,0,OK,-4.8,-290.0,-13.81,0.98,28,0,OK,-7.2,-570.0,-27.143,3.89,33,0,OK
315,10704728,0,50,-2.3,0.0,0.0,0.56,33,0,OK,10.4,520.0,24.762,1.16,28,0,OK,-4.8,-290.0,-13.81,0.98,28,0,OK,-7.2,-570.0,-27.143,3.89,33,0,OK
320,10715726,0,50,-2.3,-20.0,-0.952,0.57,33,0,OK,10.8,490.0,23.333,1.18,28,0,OK,-4.8,-120.0,-5.714,1.38,28,0,OK,-7.6,-600.0,-28.571,3.36,33,0,OK
325,10726728,0,50,-2.3,-20.0,-0.952,0.57,33,0,OK,10.8,490.0,23.333,1.18,28,0,OK,-4.8,-120.0,-5.714,1.38,28,0,OK,-7.6,-600.0,-28.571,3.36,33,0,OK
330,10737728,0,50,-2.3,-100.0,-4.762,0.42,33,0,OK,11.1,490.0,23.333,1.3,28,0,OK,-5.0,-110.0,-5.238,1.64,28,0,OK,-8.0,-730.0,-34.762,3.47,32,0,OK
335,10748728,0,50,-2.3,-100.0,-4.762,0.42,33,0,OK,11.1,490.0,23.333,1.3,28,0,OK,-5.0,-110.0,-5.238,1.64,28,0,OK,-8.0,-730.0,-34.762,3.47,32,0,OK
340,10759728,0,50,-2.5,-160.0,-7.619,0.41,33,0,OK,11.4,520.0,24.762,1.26,28,0,OK,-5.2,-290.0,-13.81,1.58,28,0,OK,-8.4,-630.0,-30.0,3.68,33,0,OK
345,10770942,0,50,-2.5,-160.0,-7.619,0.41,33,0,OK,11.4,520.0,24.762,1.26,28,0,OK,-5.3,-190.0,-9.048,1.53,28,0,OK,-8.9,-730.0,-34.762,3.26,33,0,OK
350,10781728,0,50,-2.6,-30.0,-1.429,0.62,33,0,OK,11.7,550.0,26.19,1.17,28,0,OK,-5.3,-190.0,-9.048,1.53,28,0,OK,-8.9,-730.0,-34.762,3.26,33,0,OK
355,10792944,0,50,-2.6,0.0,0.0,0.61,33,0,OK,12.1,580.0,27.619,0.99,28,0,OK,-5.6,-420.0,-20.0,1.22,28,0,OK,-9.3,-600.0,-28.571,3.63,33,0,OK
360,10803728,0,50,-2.6,0.0,0.0,0.61,33,0,OK,12.1,580.0,27.619,0.99,28,0,OK,-5.6,-420.0,-20.0,1.22,28,0,OK,-9.3,-600.0,-28.571,3.63,33,0,OK
365,10814726,0,50,-2.6,0.0,0.0,0.67,33,0,OK,12.4,590.0,28.095,1.02,28,0,OK,-5.8,-410.0,-19.524,1.42,28,0,OK,-9.6,-580.0,-27.619,3.36,33,0,OK
370,10825728,0,50,-2.6,0.0,0.0,0.67,33,0,OK,12.4,590.0,28.095,1.02,28,0,OK,-5.8,-410.0,-19.524,1.42,28,0,OK,-9.6,-580.0,-27.619,3.36,33,0,OK
375,10836726,0,50,-2.6,0.0,0.0,0.71,33,0,OK,12.8,560.0,26.667,1.33,28,0,OK,-6.0,-430.0,-20.476,1.12,28,0,OK,-10.0,-630.0,-30.0,3.79,33,0,OK
380,10847728,0,50,-2.6,0.0,0.0,0.71,33,0,OK,12.8,560.0,26.667,1.33,28,0,OK,-6.0,-430.0,-20.476,1.12,28,0,OK,-10.0,-630.0,-30.0,3.79,33,0,OK
385,10858726,0,50,-2.6,0.0,0.0,0.77,33,0,OK,13.1,550.0,26.19,1.33,28,0,OK,-6.3,-310.0,-14.762,1.4,28,0,OK,-10.4,-610.0,-29.048,3.53,33,0,OK
390,10869830,0,50,-2.6,0.0,0.0,0.77,33,0,OK,13.1,550.0,26.19,1.33,28,0,OK,-6.3,-310.0,-14.762,1.4,28,0,OK,-10.8,-630.0,-30.0,3.62,33,0,OK
395,10880726,0,50,-2.6,-30.0,-1.429,0.72,33,0,OK,13.5,530.0,25.238,1.11,28,0,OK,-6.5,-290.0,-13.81,1.33,28,0,OK,-10.8,-630.0,-30.0,3.62,33,0,OK
400,10891945,0,50,-2.6,-30.0,-1.429,0.72,33,0,OK,13.9,560.0,26.667,1.03,28,0,OK,-6.6,-280.0,-13.333,1.06,28,0,OK,-11.2,-610.0,-29.048,3.73,33,0,OK
405,10902728,0,50,-2.7,-150.0,-7.143,0.86,33,0,OK,13.9,560.0,26.667,1.03,28,0,OK,-6.6,-280.0,-13.333,1.06,28,0,OK,-11.2,-610.0,-29.048,3.73,33,0,OK
410,10913831,0,50,-2.7,0.0,0.0,0.8,33,0,OK,14.2,610.0,29.048,1.31,28,0,OK,-6.8,-260.0,-12.381,1.4,28,0,OK,-11.6,-580.0,-27.619,3.73,32,0,OK
415,10924728,0,50,-2.7,0.0,0.0,0.8,33,0,OK,14.2,610.0,29.048,1.31,28,0,OK,-6.8,-260.0,-12.381,1.4,28,0,OK,-11.6,-580.0,-27.619,3.73,32,0,OK
420,10935726,0,50,-2.7,0.0,0.0,0.8,33,0,OK,14.6,640.0,30.476,1.04,28,0,OK,-7.0,-280.0,-13.333,1.16,28,0,OK,-11.9,-570.0,-27.143,3.73,32,0,OK
