TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
6420,53965728,0,50,255,233,255,236,0,92,38,0,0,128,0,48,0,118,33,0,255,195,255,220,0,141,33,0,255,153,255,199,1,66,37,0
6425,53976728,0,50,255,233,255,236,0,92,38,0,0,128,0,48,0,118,33,0,255,195,255,220,0,141,33,0,255,153,255,199,1,66,37,0
6430,53987728,0,50,255,233,255,252,0,81,38,0,0,132,0,51,0,109,33,0,255,194,255,239,0,157,33,0,255,150,255,200,1,75,37,0
6435,53998831,0,50,255,233,255,252,0,81,38,0,0,135,0,46,0,105,33,0,255,194,255,239,0,157,33,0,255,150,255,200,1,75,37,0
6440,54009728,0,50,255,233,255,240,0,51,38,0,0,135,0,46,0,105,33,0,255,192,255,234,0,175,33,0,255,146,255,199,1,109,37,0
6445,54020831,0,50,255,233,255,240,0,51,38,0,0,138,0,38,0,126,33,0,255,192,255,234,0,175,33,0,255,143,255,208,1,132,37,0
6450,54031728,0,50,255,230,255,223,0,66,38,0,0,138,0,38,0,126,33,0,255,191,255,234,0,166,33,0,255,143,255,208,1,132,37,0
6455,54042728,0,50,255,230,255,223,0,66,38,0,0,141,0,44,0,131,33,0,255,191,255,234,0,166,33,0,255,140,255,210,1,130,37,0
6460,54053728,0,50,255,230,255,251,0,73,38,0,0,141,0,44,0,131,33,0,255,190,255,228,0,114,33,0,255,140,255,210,1,130,37,0
6465,54064945,0,50,255,228,255,218,0,24,38,0,0,144,0,44,0,145,33,0,255,188,255,226,0,150,33,0,255,137,255,204,1,100,37,0
6470,54075728,0,50,255,228,255,218,0,24,38,0,0,144,0,44,0,145,33,0,255,188,255,226,0,150,33,0,255,137,255,204,1,100,37,0
6475,54086728,0,50,255,227,255,243,0,76,38,0,0,147,0,47,0,145,33,0,255,186,255,218,0,155,33,0,255,134,255,206,1,103,37,0
6480,54097832,0,50,255,227,255,243,0,76,38,0,0,150,0,51,0,148,33,0,255,186,255,218,0,155,33,0,255,134,255,206,1,103,37,0
6485,54108728,0,50,255,227,255,247,0,63,38,0,0,150,0,51,0,148,33,0,255,184,255,240,0,190,33,0,255,131,255,204,1,130,37,0
6490,54119830,0,50,255,227,255,247,0,63,38,0,0,154,0,53,0,120,33,0,255,184,255,240,0,190,33,0,255,128,255,217,1,141,37,0
6495,54130728,0,50,255,224,255,215,0,20,38,0,0,154,0,53,0,120,33,0,255,183,255,230,0,139,33,0,255,128,255,217,1,141,37,0
6500,54141728,0,50,255,224,255,215,0,20,38,0,0,157,0,52,0,111,33,0,255,183,255,230,0,139,33,0,255,125,255,209,1,166,37,0
6505,54152728,0,50,255,223,255,249,0,66,38,0,0,157,0,52,0,111,33,0,255,182,255,235,0,152,33,0,255,125,255,209,1,166,37,0
6510,54163943,0,50,255,221,255,227,0,38,38,0,0,160,0,45,0,113,33,0,255,180,255,222,0,131,33,0,255,124,255,241,1,205,37,0
6515,54174728,0,50,255,221,255,227,0,38,38,0,0,160,0,45,0,113,33,0,255,180,255,222,0,131,33,0,255,124,255,241,1,205,37,0
6520,54185728,0,50,255,219,255,219,0,6,38,0,0,163,0,44,0,123,33,0,255,178,255,230,0,193,33,0,255,122,255,217,1,185,37,0
6525,54196728,0,50,255,219,255,219,0,6,38,0,0,163,0,44,0,123,33,0,255,178,255,230,0,193,33,0,255,122,255,217,1,185,37,0
6530,54207728,0,50,255,217,255,228,0,53,38,0,0,166,0,46,0,130,33,0,255,176,255,227,0,174,33,0,255,121,255,244,1,217,37,0
6535,54218832,0,50,255,217,255,228,0,53,38,0,0,170,0,57,0,133,33,0,255,176,255,227,0,174,33,0,255,121,255,244,1,217,37,0
6540,54229728,0,50,255,216,255,229,0,5,38,0,0,170,0,57,0,133,33,0,255,175,255,250,0,215,33,0,255,118,255,220,1,225,37,0
6545,54240831,0,50,255,216,255,229,0,5,38,0,0,174,0,58,0,156,33,0,255,175,255,250,0,215,33,0,255,117,255,240,1,225,37,0
6550,54251728,0,50,255,214,255,239,0,56,38,0,0,174,0,58,0,156,33,0,255,175,255,254,0,222,33,0,255,117,255,240,1,225,37,0
6555,54262097,1,51,255,214,255,239,0,56,38,0,0,178,0,54,0,137,33,0,255,175,255,254,0,222,33,0,255,114,255,217,2,7,37,0
6560,54463312,6,56,255,196,0,2,1,12,38,0,0,178,0,54,0,137,33,0,255,176,0,15,0,178,33,0,255,114,255,217,2,7,37,0
6565,54665313,11,61,255,196,255,254,0,210,38,0,0,90,255,202,255,221,33,0,255,183,0,59,0,215,33,0,255,59,255,198,2,148,37,0
6570,54867313,16,66,255,196,255,254,0,210,38,0,0,74,0,0,0,21,33,0,255,183,0,59,0,215,33,0,255,55,0,45,2,177,37,0
6575,55069312,21,71,255,196,255,254,0,210,38,0,0,68,0,3,0,90,33,0,255,183,0,59,0,215,33,0,255,101,0,92,2,229,37,0
6580,55271313,26,76,255,196,255,254,0,210,38,0,0,75,0,45,0,81,33,0,255,183,0,59,0,215,33,0,255,152,0,96,2,77,37,0
6585,55473312,31,81,255,196,255,254,0,210,38,0,0,98,0,43,0,165,33,0,255,183,0,59,0,215,33,0,255,211,0,98,254,236,37,0
6590,55675313,36,86,255,196,255,254,0,210,38,0,0,116,0,29,0,191,33,0,255,183,0,59,0,215,33,0,0,32,0,108,255,205,37,0
6595,55877312,41,91,255,196,255,254,0,210,38,0,0,126,0,19,1,74,33,0,255,183,0,59,0,215,33,0,0,111,0,89,255,173,37,0
6600,56079312,46,96,0,171,0,1,3,95,38,0,0,129,0,31,1,66,33,0,254,162,0,214,254,230,33,0,0,122,0,68,255,175,37,0
6605,56281313,51,1,0,179,0,34,2,224,38,0,0,129,0,31,1,66,33,0,255,34,0,166,255,78,33,0,0,122,0,68,255,175,37,0
6610,56483312,56,6,0,188,0,0,1,233,38,0,0,129,0,31,1,66,33,0,255,116,0,83,255,190,33,0,0,122,0,68,255,175,37,0
6615,56685312,61,11,0,188,0,0,2,40,38,0,0,19,255,144,255,98,33,0,255,127,0,68,255,212,33,0,0,42,255,168,255,92,37,0
6620,56887312,66,16,0,188,0,0,2,40,38,0,0,26,0,161,1,129,33,0,255,127,0,68,255,212,33,0,0,4,255,206,0,116,37,0
6625,57089312,71,21,0,188,0,0,2,40,38,0,0,177,1,42,1,152,33,0,255,127,0,68,255,212,33,0,255,239,255,239,0,119,37,0
6630,57291312,76,26,0,188,0,0,2,40,38,0,1,89,1,4,1,158,33,0,255,127,0,68,255,212,33,0,255,220,255,237,1,161,37,0
6635,57493312,81,31,0,188,0,0,2,40,38,0,1,224,0,151,1,153,33,0,255,127,0,68,255,212,33,0,255,187,255,195,2,64,37,0
6640,57695312,86,36,0,188,0,0,2,40,38,0,2,14,255,253,1,171,33,0,255,127,0,68,255,212,33,0,255,136,255,168,2,100,37,0
6645,57897313,91,41,0,188,0,0,2,40,38,0,1,223,255,113,1,219,33,0,255,127,0,68,255,212,33,0,255,78,255,179,2,22,37,0
6650,58099312,96,46,255,100,255,255,0,128,38,0,1,200,255,89,1,209,33,0,255,110,255,250,1,1,33,0,255,69,255,202,2,58,37,0
6655,58301312,1,51,255,121,0,45,0,38,38,0,1,200,255,89,1,209,33,0,255,117,0,42,0,184,33,0,255,69,255,202,2,58,37,0
6660,58503312,6,56,255,177,0,90,0,215,38,0,1,200,255,89,1,209,33,0,255,172,0,88,0,229,33,0,255,69,255,202,2,58,37,0
6665,58705312,11,61,255,189,0,93,0,245,38,0,0,109,255,226,0,137,33,0,255,185,0,97,1,25,33,0,255,93,0,0,3,199,37,0
6670,58907313,16,66,255,189,0,93,0,245,38,0,0,94,255,231,0,108,33,0,255,185,0,97,1,25,33,0,255,94,0,1,3,126,37,0
6675,59108884,21,71,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6680,59309884,26,76,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6685,59510884,31,81,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6690,59711884,36,86,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6695,59912884,41,91,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6700,60113884,46,96,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
Moving legs to zero
6705,60275878,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6710,60286562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6715,60297562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6720,60308562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6725,60319562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
6730,60330562,50,0,255,189,0,93,0,245,38,0,0,87,255,239,0,60,33,0,255,185,0,97,1,25,33,0,255,97,0,21,3,58,37,0
