TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
0,10011348,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,251,252,253,253,127,247,255,250,251,252,253,253,127,247,255
5,10022728,0,50,0,4,255,255,0,13,30,0,0,3,0,0,255,249,26,0,255,255,0,0,255,255,26,0,0,0,0,0,255,247,28,0
10,10033728,0,50,0,4,255,255,0,13,30,0,0,3,0,0,255,249,26,0,255,255,0,0,255,255,26,0,0,0,0,0,255,247,28,0
15,10044728,0,50,0,4,0,0,255,245,30,0,0,3,0,0,255,247,26,0,255,255,0,0,255,248,26,0,0,0,255,255,0,27,29,0
20,10055836,0,50,0,4,0,0,255,245,30,0,0,3,0,0,255,247,26,0,255,255,0,0,255,248,26,0,0,0,255,255,0,40,29,0
25,10066728,0,50,0,4,0,0,255,253,30,0,0,3,0,2,0,38,26,0,255,255,0,0,255,237,26,0,0,0,255,255,0,40,29,0
30,10078158,0,50,0,4,0,0,255,239,30,0,0,4,0,36,0,19,26,0,255,255,0,0,0,31,26,0,0,0,255,255,0,63,29,0
35,10088728,0,50,0,4,0,0,255,239,30,0,0,4,0,36,0,19,26,0,255,255,0,0,0,31,26,0,0,0,255,255,0,63,29,0
40,10099728,0,50,0,4,0,0,0,30,30,0,0,7,0,35,0,40,26,0,255,255,0,0,0,45,26,0,0,0,255,255,0,91,29,0
45,10110728,0,50,0,4,0,0,0,30,30,0,0,7,0,35,0,40,26,0,255,255,0,0,0,45,26,0,0,0,255,255,0,91,29,0
50,10121728,0,50,0,4,0,0,0,47,30,0,0,10,0,49,0,38,26,0,255,254,255,255,0,56,26,0,0,0,255,253,0,108,29,0
55,10132728,0,50,0,4,0,0,0,47,30,0,0,10,0,49,0,38,26,0,255,254,255,255,0,56,26,0,0,0,255,253,0,108,29,0
60,10143728,0,50,0,4,255,255,0,61,30,0,0,14,0,63,0,43,26,0,255,254,255,254,0,64,26,0,255,255,255,228,0,122,29,0
65,10154728,0,50,0,4,255,255,0,61,30,0,0,14,0,63,0,43,26,0,255,254,255,254,0,64,26,0,255,255,255,228,0,122,29,0
70,10165728,0,50,0,3,255,254,0,76,30,0,0,19,0,71,0,41,26,0,255,253,255,229,0,21,26,0,255,254,255,253,0,152,29,0
75,10176832,0,50,0,3,255,254,0,76,30,0,0,19,0,71,0,41,26,0,255,253,255,229,0,21,26,0,255,253,255,232,0,155,29,0
80,10187728,0,50,0,3,255,254,0,76,30,0,0,22,0,56,0,89,26,0,255,252,255,249,0,69,26,0,255,253,255,232,0,155,29,0
85,10199053,0,50,0,3,255,253,0,111,30,0,0,26,0,59,0,65,26,0,255,251,255,250,0,89,26,0,255,253,255,254,0,193,29,0
90,10209728,0,50,0,3,255,253,0,111,30,0,0,26,0,59,0,65,26,0,255,251,255,250,0,89,26,0,255,253,255,254,0,193,29,0
95,10220728,0,50,0,2,255,233,0,146,30,0,0,30,0,62,0,96,26,0,255,251,255,250,0,89,26,0,255,253,255,252,0,210,29,0
100,10231728,0,50,0,2,255,233,0,146,30,0,0,30,0,62,0,96,26,0,255,251,255,250,0,89,26,0,255,253,255,252,0,210,29,0
105,10242728,0,50,0,2,255,255,0,138,30,0,0,34,0,60,0,102,26,0,255,250,255,236,0,62,26,0,255,251,255,222,0,209,29,0
110,10253728,0,50,0,2,255,255,0,138,30,0,0,34,0,60,0,102,26,0,255,250,255,236,0,62,26,0,255,251,255,222,0,209,29,0
115,10264728,0,50,0,2,0,0,0,151,30,0,0,38,0,67,0,113,26,0,255,250,255,254,0,106,26,0,255,250,255,242,0,249,29,0
120,10275728,0,50,0,2,0,0,0,151,30,0,0,38,0,67,0,113,26,0,255,250,255,254,0,106,26,0,255,250,255,242,0,249,29,0
125,10286728,0,50,0,2,0,0,0,171,30,0,0,42,0,62,0,114,26,0,255,250,255,254,0,106,26,0,255,248,255,223,0,219,29,0
130,10298049,0,50,0,2,0,0,0,171,30,0,0,46,0,63,0,135,26,0,255,248,255,247,0,136,26,0,255,247,255,235,1,30,29,0
135,10308728,0,50,0,2,0,0,0,177,30,0,0,46,0,63,0,135,26,0,255,248,255,247,0,136,26,0,255,247,255,235,1,30,29,0
140,10319832,0,50,0,2,0,0,0,193,30,0,0,50,0,65,0,135,26,0,255,248,255,245,0,111,26,0,255,246,255,238,0,249,29,0
145,10330728,0,50,0,2,0,0,0,193,30,0,0,50,0,65,0,135,26,0,255,248,255,245,0,111,26,0,255,246,255,238,0,249,29,0
150,10341728,0,50,0,2,0,0,0,206,30,0,0,54,0,66,0,175,26,0,255,246,255,237,0,119,26,0,255,244,255,238,1,28,29,0
155,10352728,0,50,0,2,0,0,0,206,30,0,0,54,0,66,0,175,26,0,255,246,255,237,0,119,26,0,255,244,255,238,1,28,29,0
160,10363728,0,50,0,2,0,1,0,221,30,0,0,59,0,70,0,146,26,0,255,245,255,247,0,141,26,0,255,243,255,251,1,71,29,0
165,10374728,0,50,0,2,0,1,0,221,30,0,0,59,0,70,0,146,26,0,255,245,255,247,0,141,26,0,255,243,255,251,1,71,29,0
170,10385728,0,50,0,2,0,1,0,232,30,0,0,63,0,74,0,151,26,0,255,243,255,216,0,116,26,0,255,242,255,215,1,58,29,0
175,10396831,0,50,0,2,0,1,0,232,30,0,0,63,0,74,0,151,26,0,255,243,255,216,0,116,26,0,255,240,255,235,1,92,29,0
180,10407728,0,50,0,2,0,1,0,232,30,0,0,68,0,75,0,145,26,0,255,241,255,248,0,160,26,0,255,240,255,235,1,92,29,0
185,10419053,0,50,0,2,0,2,1,3,30,0,0,73,0,84,0,154,26,0,255,241,255,235,0,110,26,0,255,237,255,214,1,96,29,0
190,10429728,0,50,0,2,0,2,1,3,30,0,0,73,0,84,0,154,26,0,255,241,255,235,0,110,26,0,255,237,255,214,1,96,29,0
195,10440728,0,50,0,3,0,4,1,14,30,0,0,78,0,81,0,176,26,0,255,240,255,253,0,168,26,0,255,235,255,210,1,63,29,0
200,10451728,0,50,0,3,0,4,1,14,30,0,0,78,0,81,0,176,26,0,255,240,255,253,0,168,26,0,255,235,255,210,1,63,29,0
205,10462728,0,50,0,4,0,24,1,25,30,0,0,84,0,80,0,190,26,0,255,239,255,231,0,128,26,0,255,232,255,216,1,78,29,0
210,10473728,0,50,0,4,0,24,1,25,30,0,0,84,0,80,0,190,26,0,255,239,255,231,0,128,26,0,255,232,255,216,1,78,29,0
215,10484728,0,50,0,4,0,3,1,36,30,0,0,89,0,77,0,197,26,0,255,237,255,223,0,115,26,0,255,229,255,212,1,69,29,0
220,10495728,0,50,0,4,0,3,1,36,30,0,0,89,0,77,0,197,26,0,255,237,255,223,0,115,26,0,255,229,255,212,1,69,29,0
225,10506728,0,50,0,5,0,26,0,230,30,0,0,93,0,71,0,208,26,0,255,237,255,223,0,115,26,0,255,227,255,229,1,143,29,0
230,10518049,0,50,0,5,0,26,0,230,30,0,0,98,0,77,0,207,26,0,255,233,255,221,0,167,26,0,255,225,255,220,1,123,29,0
235,10528728,0,50,0,7,0,30,1,55,30,0,0,98,0,77,0,207,26,0,255,233,255,221,0,167,26,0,255,225,255,220,1,123,29,0
240,10539831,0,50,0,8,0,13,1,34,30,0,0,102,0,65,0,224,26,0,255,232,255,240,0,183,26,0,255,222,255,210,1,150,29,0
245,10550728,0,50,0,8,0,13,1,34,30,0,0,102,0,65,0,224,26,0,255,232,255,240,0,183,26,0,255,222,255,210,1,150,29,0
250,10561728,0,50,0,10,0,39,1,57,30,0,0,107,0,66,0,220,26,0,255,230,255,231,0,193,26,0,255,220,255,214,1,94,29,0
255,10572728,0,50,0,10,0,39,1,57,30,0,0,107,0,66,0,220,26,0,255,230,255,231,0,193,26,0,255,220,255,214,1,94,29,0
260,10583728,0,50,0,11,0,10,1,50,30,0,0,111,0,63,1,8,26,0,255,229,255,241,0,202,26,0,255,216,255,203,1,122,29,0
