TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RightHip_pos_deg,RightHip_spd_eRPM,RightHip_spd_mech_RPM,RightHip_current_A,RightHip_temp_C,RightHip_err_code,RightHip_err_text,RightKnee_pos_deg,RightKnee_spd_eRPM,RightKnee_spd_mech_RPM,RightKnee_current_A,RightKnee_temp_C,RightKnee_err_code,RightKnee_err_text,LeftKnee_pos_deg,LeftKnee_spd_eRPM,LeftKnee_spd_mech_RPM,LeftKnee_current_A,LeftKnee_temp_C,LeftKnee_err_code,LeftKnee_err_text,LeftHip_pos_deg,LeftHip_spd_eRPM,LeftHip_spd_mech_RPM,LeftHip_current_A,LeftHip_temp_C,LeftHip_err_code,LeftHip_err_text
0,10011348,0,50,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,-128.5,-7710.0,-367.143,-6.41,-9,255,Unknown(255),-128.5,-7710.0,-367.143,-6.41,-9,255,Unknown(255)
5,10022728,0,50,0.4,-10.0,-0.476,0.13,30,0,OK,0.3,0.0,0.0,-0.07,26,0,OK,-0.1,0.0,0.0,-0.01,26,0,OK,0.0,0.0,0.0,-0.09,28,0,OK
10,10033728,0,50,0.4,-10.0,-0.476,0.13,30,0,OK,0.3,0.0,0.0,-0.07,26,0,OK,-0.1,0.0,0.0,-0.01,26,0,OK,0.0,0.0,0.0,-0.09,28,0,OK
15,10044728,0,50,0.4,0.0,0.0,-0.11,30,0,OK,0.3,0.0,0.0,-0.09,26,0,OK,-0.1,0.0,0.0,-0.08,26,0,OK,0.0,-10.0,-0.476,0.27,29,0,OK
20,10055836,0,50,0.4,0.0,0.0,-0.11,30,0,OK,0.3,0.0,0.0,-0.09,26,0,OK,-0.1,0.0,0.0,-0.08,26,0,OK,0.0,-10.0,-0.476,0.4,29,0,OK
25,10066728,0,50,0.4,0.0,0.0,-0.03,30,0,OK,0.3,20.0,0.952,0.38,26,0,OK,-0.1,0.0,0.0,-0.19,26,0,OK,0.0,-10.0,-0.476,0.4,29,0,OK
30,10078158,0,50,0.4,0.0,0.0,-0.17,30,0,OK,0.4,360.0,17.143,0.19,26,0,OK,-0.1,0.0,0.0,0.31,26,0,OK,0.0,-10.0,-0.476,0.63,29,0,OK
35,10088728,0,50,0.4,0.0,0.0,-0.17,30,0,OK,0.4,360.0,17.143,0.19,26,0,OK,-0.1,0.0,0.0,0.31,26,0,OK,0.0,-10.0,-0.476,0.63,29,0,OK
40,10099728,0,50,0.4,0.0,0.0,0.3,30,0,OK,0.7,350.0,16.667,0.4,26,0,OK,-0.1,0.0,0.0,0.45,26,0,OK,0.0,-10.0,-0.476,0.91,29,0,OK
45,10110728,0,50,0.4,0.0,0.0,0.3,30,0,OK,0.7,350.0,16.667,0.4,26,0,OK,-0.1,0.0,0.0,0.45,26,0,OK,0.0,-10.0,-0.476,0.91,29,0,OK
