TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RightHip_pos_deg,RightHip_spd_eRPM,RightHip_spd_mech_RPM,RightHip_current_A,RightHip_temp_C,RightHip_err_code,RightHip_err_text,RightKnee_pos_deg,RightKnee_spd_eRPM,RightKnee_spd_mech_RPM,RightKnee_current_A,RightKnee_temp_C,RightKnee_err_code,RightKnee_err_text,LeftKnee_pos_deg,LeftKnee_spd_eRPM,LeftKnee_spd_mech_RPM,LeftKnee_current_A,LeftKnee_temp_C,LeftKnee_err_code,LeftKnee_err_text,LeftHip_pos_deg,LeftHip_spd_eRPM,LeftHip_spd_mech_RPM,LeftHip_current_A,LeftHip_temp_C,LeftHip_err_code,LeftHip_err_text
0,719154,1,51,16.8,-1950.0,-92.857,0.43,42,0,OK,16.3,3040.0,144.762,1.93,38,0,OK,-5.3,0.0,0.0,3.36,39,0,OK,-8.1,510.0,24.286,7.58,48,0,OK
5,920315,6,56,16.8,-1950.0,-92.857,0.43,42,0,OK,16.3,3040.0,144.762,1.93,38,0,OK,-5.6,140.0,6.667,2.68,39,0,OK,-8.0,-550.0,-26.19,12.1,48,0,OK
10,1122315,11,61,16.8,-1950.0,-92.857,0.43,42,0,OK,16.3,3040.0,144.762,1.93,38,0,OK,-0.3,260.0,12.381,1.53,39,0,OK,-12.9,-1240.0,-59.048,10.13,48,0,OK
15,1324315,16,66,16.8,-1950.0,-92.857,0.43,42,0,OK,16.3,3040.0,144.762,1.93,38,0,OK,-2.6,-1440.0,-68.571,2.25,39,0,OK,-19.5,-580.0,-27.619,4.85,48,0,OK
20,1526314,21,71,16.8,-1950.0,-92.857,0.43,42,0,OK,14.9,20.0,0.952,2.7,38,0,OK,-18.3,-2280.0,-108.571,1.7,39,0,OK,-20.1,-510.0,-24.286,4.23,48,0,OK
25,1728315,26,76,17.6,410.0,19.524,6.67,42,0,OK,14.9,0.0,0.0,2.79,38,0,OK,-21.7,-2430.0,-115.714,1.7,39,0,OK,-12.5,1260.0,60.0,-1.45,48,0,OK
30,1930315,31,81,18.2,290.0,13.81,7.2,42,0,OK,14.9,0.0,0.0,2.79,38,0,OK,-46.3,-1230.0,-58.571,4.75,39,0,OK,-2.9,2090.0,99.524,-1.13,48,0,OK
35,2132315,36,86,18.2,290.0,13.81,7.2,42,0,OK,14.9,0.0,0.0,2.79,38,0,OK,-49.5,-100.0,-4.762,4.88,39,0,OK,8.4,1840.0,87.619,-1.35,48,0,OK
40,2334315,41,91,18.2,290.0,13.81,7.2,42,0,OK,14.9,0.0,0.0,2.79,38,0,OK,-45.5,1760.0,83.81,-3.33,39,0,OK,16.2,720.0,34.286,-1.21,48,0,OK
45,2536315,46,96,18.2,290.0,13.81,7.2,42,0,OK,14.9,0.0,0.0,2.79,38,0,OK,-33.2,2280.0,108.571,-2.46,39,0,OK,17.2,-310.0,-14.762,0.44,48,0,OK
50,2738315,51,1,18.2,290.0,13.81,7.2,42,0,OK,14.9,0.0,0.0,2.79,38,0,OK,-21.0,1760.0,83.81,-0.37,39,0,OK,14.2,-760.0,-36.19,1.94,48,0,OK
55,2940315,56,6,18.2,290.0,13.81,7.2,42,0,OK,14.9,0.0,0.0,2.79,38,0,OK,-13.0,690.0,32.857,0.64,39,0,OK,10.4,-570.0,-27.143,2.56,48,0,OK
60,3142315,61,11,18.2,290.0,13.81,7.2,42,0,OK,14.9,0.0,0.0,2.79,38,0,OK,-8.9,280.0,13.333,0.71,39,0,OK,7.1,-280.0,-13.333,1.75,48,0,OK
65,3344315,66,16,18.2,290.0,13.81,7.2,42,0,OK,14.9,0.0,0.0,2.79,38,0,OK,-7.5,80.0,3.81,1.02,39,0,OK,4.8,-170.0,-8.095,0.72,48,0,OK
70,3546315,71,21,18.2,290.0,13.81,7.2,42,0,OK,26.1,2580.0,122.857,5.4,38,0,OK,-6.1,180.0,8.571,0.13,39,0,OK,4.2,-340.0,-16.19,-0.81,48,0,OK
75,3748315,76,26,25.8,-560.0,-26.667,8.66,42,0,OK,29.8,2600.0,123.81,5.26,38,0,OK,-6.2,0.0,0.0,-0.03,39,0,OK,-1.8,-520.0,-24.762,2.59,48,0,OK
80,3950315,81,31,24.9,-740.0,-35.238,8.35,42,0,OK,29.8,2600.0,123.81,5.26,38,0,OK,-8.0,-510.0,-24.286,1.39,39,0,OK,-6.0,-750.0,-35.714,3.64,48,0,OK
