epoch_s,iso_time,value,raw
1763528943.8161776,2025-11-19T16:09:03.816178,0.6877765,6.877765E-01
1763528943.86723,2025-11-19T16:09:03.867230,0.6877765,6.877765E-01
1763528943.9169695,2025-11-19T16:09:03.916970,0.6877765,6.877765E-01
1763528943.966673,2025-11-19T16:09:03.966673,0.6877765,6.877765E-01
1763528944.044842,2025-11-19T16:09:04.044842,0.6307429,6.307429E-01
1763528944.0673082,2025-11-19T16:09:04.067308,0.6307429,6.307429E-01
1763528944.1181781,2025-11-19T16:09:04.118178,0.6307429,6.307429E-01
1763528944.1668966,2025-11-19T16:09:04.166897,0.6307429,6.307429E-01
1763528944.2170706,2025-11-19T16:09:04.217071,0.6307429,6.307429E-01
1763528944.26753,2025-11-19T16:09:04.267530,0.6307429,6.307429E-01
1763528944.3176882,2025-11-19T16:09:04.317688,0.6307429,6.307429E-01
1763528944.3671,2025-11-19T16:09:04.367100,0.6307429,6.307429E-01
1763528944.4164536,2025-11-19T16:09:04.416454,0.6307429,6.307429E-01
1763528944.4938164,2025-11-19T16:09:04.493816,0.8052174,8.052174E-01
1763528944.5164156,2025-11-19T16:09:04.516416,0.8052174,8.052174E-01
1763528944.5665543,2025-11-19T16:09:04.566554,0.8052174,8.052174E-01
1763528944.6176693,2025-11-19T16:09:04.617669,0.8052174,8.052174E-01
1763528944.667001,2025-11-19T16:09:04.667001,0.8052174,8.052174E-01
1763528944.7173553,2025-11-19T16:09:04.717355,0.8052174,8.052174E-01
1763528944.793289,2025-11-19T16:09:04.793289,1.104798,1.104798E+00
1763528944.8180673,2025-11-19T16:09:04.818067,1.104798,1.104798E+00
1763528944.8677785,2025-11-19T16:09:04.867779,1.104798,1.104798E+00
1763528944.916849,2025-11-19T16:09:04.916849,1.104798,1.104798E+00
1763528944.9665043,2025-11-19T16:09:04.966504,1.104798,1.104798E+00
1763528945.0169997,2025-11-19T16:09:05.017000,1.104798,1.104798E+00
1763528945.09273,2025-11-19T16:09:05.092730,0.907092,9.070920E-01
1763528945.1175091,2025-11-19T16:09:05.117509,0.907092,9.070920E-01
1763528945.1673782,2025-11-19T16:09:05.167378,0.907092,9.070920E-01
1763528945.2172854,2025-11-19T16:09:05.217285,0.907092,9.070920E-01
1763528945.2666378,2025-11-19T16:09:05.266638,0.907092,9.070920E-01
1763528945.3174212,2025-11-19T16:09:05.317421,0.907092,9.070920E-01
1763528945.3918028,2025-11-19T16:09:05.391803,0.7835068,7.835068E-01
1763528945.4166825,2025-11-19T16:09:05.416682,0.7835068,7.835068E-01
1763528945.4672055,2025-11-19T16:09:05.467206,0.7835068,7.835068E-01
1763528945.5166135,2025-11-19T16:09:05.516613,0.7835068,7.835068E-01
1763528945.5675762,2025-11-19T16:09:05.567576,0.7835068,7.835068E-01
1763528945.6174994,2025-11-19T16:09:05.617499,0.7835068,7.835068E-01
1763528945.6917114,2025-11-19T16:09:05.691711,0.6872961,6.872961E-01
1763528945.7175844,2025-11-19T16:09:05.717584,0.6872961,6.872961E-01
1763528945.7673175,2025-11-19T16:09:05.767318,0.6872961,6.872961E-01
1763528945.8176148,2025-11-19T16:09:05.817615,0.6872961,6.872961E-01
1763528945.8674278,2025-11-19T16:09:05.867428,0.6872961,6.872961E-01
1763528945.916914,2025-11-19T16:09:05.916914,0.6872961,6.872961E-01
1763528945.9678946,2025-11-19T16:09:05.967895,0.6872961,6.872961E-01
1763528946.0176535,2025-11-19T16:09:06.017653,0.6872961,6.872961E-01
1763528946.0675166,2025-11-19T16:09:06.067517,0.6872961,6.872961E-01
1763528946.140523,2025-11-19T16:09:06.140523,0.8781161,8.781161E-01
1763528946.167124,2025-11-19T16:09:06.167124,0.8781161,8.781161E-01
1763528946.2170556,2025-11-19T16:09:06.217056,0.8781161,8.781161E-01
1763528946.267597,2025-11-19T16:09:06.267597,0.8781161,8.781161E-01
1763528946.3167627,2025-11-19T16:09:06.316763,0.8781161,8.781161E-01
1763528946.368394,2025-11-19T16:09:06.368394,0.8781161,8.781161E-01
1763528946.4397368,2025-11-19T16:09:06.439737,1.088842,1.088842E+00
1763528946.4665275,2025-11-19T16:09:06.466527,1.088842,1.088842E+00
1763528946.5165062,2025-11-19T16:09:06.516506,1.088842,1.088842E+00
1763528946.5672128,2025-11-19T16:09:06.567213,1.088842,1.088842E+00
1763528946.6175137,2025-11-19T16:09:06.617514,1.088842,1.088842E+00
1763528946.6672704,2025-11-19T16:09:06.667270,1.088842,1.088842E+00
1763528946.739777,2025-11-19T16:09:06.739777,0.7943541,7.943541E-01
1763528946.7672215,2025-11-19T16:09:06.767221,0.7943541,7.943541E-01
1763528946.8171477,2025-11-19T16:09:06.817148,0.7943541,7.943541E-01
1763528946.867277,2025-11-19T16:09:06.867277,0.7943541,7.943541E-01
1763528946.9170678,2025-11-19T16:09:06.917068,0.7943541,7.943541E-01
1763528946.966555,2025-11-19T16:09:06.966555,0.7943541,7.943541E-01
1763528947.0387657,2025-11-19T16:09:07.038766,0.7343898,7.343898E-01
1763528947.0676463,2025-11-19T16:09:07.067646,0.7343898,7.343898E-01
1763528947.1178734,2025-11-19T16:09:07.117873,0.7343898,7.343898E-01
1763528947.167079,2025-11-19T16:09:07.167079,0.7343898,7.343898E-01
1763528947.2174082,2025-11-19T16:09:07.217408,0.7343898,7.343898E-01
1763528947.2675202,2025-11-19T16:09:07.267520,0.7343898,7.343898E-01
1763528947.3172665,2025-11-19T16:09:07.317266,0.7343898,7.343898E-01
1763528947.3668857,2025-11-19T16:09:07.366886,0.7343898,7.343898E-01
1763528947.4170976,2025-11-19T16:09:07.417098,0.7343898,7.343898E-01
1763528947.487599,2025-11-19T16:09:07.487599,1.140013,1.140013E+00
1763528947.5172966,2025-11-19T16:09:07.517297,1.140013,1.140013E+00
1763528947.567208,2025-11-19T16:09:07.567208,1.140013,1.140013E+00
1763528947.6181517,2025-11-19T16:09:07.618152,1.140013,1.140013E+00
1763528947.6675458,2025-11-19T16:09:07.667546,1.140013,1.140013E+00
1763528947.7170856,2025-11-19T16:09:07.717086,1.140013,1.140013E+00
1763528947.7877324,2025-11-19T16:09:07.787732,0.9054052,9.054052E-01
1763528947.8184168,2025-11-19T16:09:07.818417,0.9054052,9.054052E-01
1763528947.8676398,2025-11-19T16:09:07.867640,0.9054052,9.054052E-01
1763528947.917499,2025-11-19T16:09:07.917499,0.9054052,9.054052E-01
1763528947.9673703,2025-11-19T16:09:07.967370,0.9054052,9.054052E-01
1763528948.017272,2025-11-19T16:09:08.017272,0.9054052,9.054052E-01
1763528948.0868,2025-11-19T16:09:08.086800,0.6238727,6.238727E-01
1763528948.1172235,2025-11-19T16:09:08.117224,0.6238727,6.238727E-01
1763528948.1673484,2025-11-19T16:09:08.167348,0.6238727,6.238727E-01
1763528948.2166686,2025-11-19T16:09:08.216669,0.6238727,6.238727E-01
1763528948.2683873,2025-11-19T16:09:08.268387,0.6238727,6.238727E-01
1763528948.31715,2025-11-19T16:09:08.317150,0.6238727,6.238727E-01
1763528948.3864386,2025-11-19T16:09:08.386439,0.5312651,5.312651E-01
1763528948.4172428,2025-11-19T16:09:08.417243,0.5312651,5.312651E-01
1763528948.4668956,2025-11-19T16:09:08.466896,0.5312651,5.312651E-01
1763528948.5178444,2025-11-19T16:09:08.517844,0.5312651,5.312651E-01
1763528948.5673661,2025-11-19T16:09:08.567366,0.5312651,5.312651E-01
1763528948.6170256,2025-11-19T16:09:08.617026,0.5312651,5.312651E-01
1763528948.68586,2025-11-19T16:09:08.685860,0.4448233,4.448233E-01
1763528948.7173877,2025-11-19T16:09:08.717388,0.4448233,4.448233E-01
1763528948.767067,2025-11-19T16:09:08.767067,0.4448233,4.448233E-01
1763528948.8176243,2025-11-19T16:09:08.817624,0.4448233,4.448233E-01
1763528948.8672097,2025-11-19T16:09:08.867210,0.4448233,4.448233E-01
1763528948.9180086,2025-11-19T16:09:08.918009,0.4448233,4.448233E-01
1763528948.9671564,2025-11-19T16:09:08.967156,0.4448233,4.448233E-01
1763528949.017075,2025-11-19T16:09:09.017075,0.4448233,4.448233E-01
1763528949.0675616,2025-11-19T16:09:09.067562,0.4448233,4.448233E-01
1763528949.1341317,2025-11-19T16:09:09.134132,0.4539019,4.539019E-01
1763528949.166979,2025-11-19T16:09:09.166979,0.4539019,4.539019E-01
1763528949.2173195,2025-11-19T16:09:09.217319,0.4539019,4.539019E-01
1763528949.2673087,2025-11-19T16:09:09.267309,0.4539019,4.539019E-01
1763528949.3176765,2025-11-19T16:09:09.317677,0.4539019,4.539019E-01
1763528949.3676903,2025-11-19T16:09:09.367690,0.4539019,4.539019E-01
1763528949.433623,2025-11-19T16:09:09.433623,0.5965676,5.965676E-01
1763528949.4677734,2025-11-19T16:09:09.467773,0.5965676,5.965676E-01
1763528949.5181947,2025-11-19T16:09:09.518195,0.5965676,5.965676E-01
1763528949.5669796,2025-11-19T16:09:09.566980,0.5965676,5.965676E-01
1763528949.6176164,2025-11-19T16:09:09.617616,0.5965676,5.965676E-01
1763528949.667136,2025-11-19T16:09:09.667136,0.5965676,5.965676E-01
1763528949.7329278,2025-11-19T16:09:09.732928,0.8982092,8.982092E-01
1763528949.7673397,2025-11-19T16:09:09.767340,0.8982092,8.982092E-01
1763528949.8171594,2025-11-19T16:09:09.817159,0.8982092,8.982092E-01
1763528949.8662815,2025-11-19T16:09:09.866282,0.8982092,8.982092E-01
1763528949.9167573,2025-11-19T16:09:09.916757,0.8982092,8.982092E-01
1763528949.9666278,2025-11-19T16:09:09.966628,0.8982092,8.982092E-01
1763528950.0322914,2025-11-19T16:09:10.032291,0.9585899,9.585899E-01
1763528950.0671449,2025-11-19T16:09:10.067145,0.9585899,9.585899E-01
1763528950.1170523,2025-11-19T16:09:10.117052,0.9585899,9.585899E-01
1763528950.1672518,2025-11-19T16:09:10.167252,0.9585899,9.585899E-01
1763528950.2169852,2025-11-19T16:09:10.216985,0.9585899,9.585899E-01
1763528950.2669637,2025-11-19T16:09:10.266964,0.9585899,9.585899E-01
1763528950.3320744,2025-11-19T16:09:10.332074,0.8897749,8.897749E-01
1763528950.3669984,2025-11-19T16:09:10.366998,0.8897749,8.897749E-01
1763528950.417281,2025-11-19T16:09:10.417281,0.8897749,8.897749E-01
1763528950.4664633,2025-11-19T16:09:10.466463,0.8897749,8.897749E-01
1763528950.517389,2025-11-19T16:09:10.517389,0.8897749,8.897749E-01
1763528950.566994,2025-11-19T16:09:10.566994,0.8897749,8.897749E-01
1763528950.616886,2025-11-19T16:09:10.616886,0.8897749,8.897749E-01
1763528950.6671867,2025-11-19T16:09:10.667187,0.8897749,8.897749E-01
1763528950.7178812,2025-11-19T16:09:10.717881,0.8897749,8.897749E-01
1763528950.7812402,2025-11-19T16:09:10.781240,0.7775227,7.775227E-01
1763528950.8182747,2025-11-19T16:09:10.818275,0.7775227,7.775227E-01
1763528950.867178,2025-11-19T16:09:10.867178,0.7775227,7.775227E-01
1763528950.916943,2025-11-19T16:09:10.916943,0.7775227,7.775227E-01
