epoch_s,iso_time,value,raw
1763529632.7653198,2025-11-19T16:20:32.765320,6.405866e-05,6.405866e-05
1763529632.8153763,2025-11-19T16:20:32.815376,6.405866e-05,6.405866e-05
1763529632.8659067,2025-11-19T16:20:32.865907,6.405866e-05,6.405866e-05
1763529632.9156976,2025-11-19T16:20:32.915698,6.405866e-05,6.405866e-05
1763529632.9823575,2025-11-19T16:20:32.982358,0.000192176,0.000192176
1763529633.0156643,2025-11-19T16:20:33.015664,0.000192176,0.000192176
1763529633.06576,2025-11-19T16:20:33.065760,0.000192176,0.000192176
1763529633.1154184,2025-11-19T16:20:33.115418,0.000192176,0.000192176
1763529633.1661377,2025-11-19T16:20:33.166138,0.000192176,0.000192176
1763529633.2153647,2025-11-19T16:20:33.215365,0.000192176,0.000192176
1763529633.2817948,2025-11-19T16:20:33.281795,0.0001494702,0.0001494702
1763529633.315771,2025-11-19T16:20:33.315771,0.0001494702,0.0001494702
1763529633.3659186,2025-11-19T16:20:33.365919,0.0001494702,0.0001494702
1763529633.416028,2025-11-19T16:20:33.416028,0.0001494702,0.0001494702
1763529633.46588,2025-11-19T16:20:33.465880,0.0001494702,0.0001494702
1763529633.51621,2025-11-19T16:20:33.516210,0.0001494702,0.0001494702
1763529633.581472,2025-11-19T16:20:33.581472,0.02861293,0.02861293
1763529633.615722,2025-11-19T16:20:33.615722,0.02861293,0.02861293
1763529633.666223,2025-11-19T16:20:33.666223,0.02861293,0.02861293
1763529633.716075,2025-11-19T16:20:33.716075,0.02861293,0.02861293
1763529633.7664216,2025-11-19T16:20:33.766422,0.02861293,0.02861293
1763529633.8158638,2025-11-19T16:20:33.815864,0.02861293,0.02861293
1763529633.8801172,2025-11-19T16:20:33.880117,0.1480502,0.1480502
1763529633.91579,2025-11-19T16:20:33.915790,0.1480502,0.1480502
1763529633.965761,2025-11-19T16:20:33.965761,0.1480502,0.1480502
1763529634.0161414,2025-11-19T16:20:34.016141,0.1480502,0.1480502
1763529634.0658677,2025-11-19T16:20:34.065868,0.1480502,0.1480502
1763529634.1160767,2025-11-19T16:20:34.116077,0.1480502,0.1480502
1763529634.1670585,2025-11-19T16:20:34.167058,0.1480502,0.1480502
1763529634.2158065,2025-11-19T16:20:34.215806,0.1480502,0.1480502
1763529634.2664876,2025-11-19T16:20:34.266488,0.1480502,0.1480502
1763529634.3297956,2025-11-19T16:20:34.329796,0.1462566,0.1462566
1763529634.366542,2025-11-19T16:20:34.366542,0.1462566,0.1462566
1763529634.416028,2025-11-19T16:20:34.416028,0.1462566,0.1462566
1763529634.4667175,2025-11-19T16:20:34.466717,0.1462566,0.1462566
1763529634.515862,2025-11-19T16:20:34.515862,0.1462566,0.1462566
1763529634.566362,2025-11-19T16:20:34.566362,0.1462566,0.1462566
1763529634.6284769,2025-11-19T16:20:34.628477,0.1498332,0.1498332
1763529634.6664848,2025-11-19T16:20:34.666485,0.1498332,0.1498332
1763529634.7158356,2025-11-19T16:20:34.715836,0.1498332,0.1498332
1763529634.7663903,2025-11-19T16:20:34.766390,0.1498332,0.1498332
1763529634.8161614,2025-11-19T16:20:34.816161,0.1498332,0.1498332
1763529634.865952,2025-11-19T16:20:34.865952,0.1498332,0.1498332
1763529634.928472,2025-11-19T16:20:34.928472,0.1502549,0.1502549
1763529634.9659476,2025-11-19T16:20:34.965948,0.1502549,0.1502549
1763529635.0158305,2025-11-19T16:20:35.015831,0.1502549,0.1502549
1763529635.065448,2025-11-19T16:20:35.065448,0.1502549,0.1502549
1763529635.1156106,2025-11-19T16:20:35.115611,0.1502549,0.1502549
1763529635.1667607,2025-11-19T16:20:35.166761,0.1502549,0.1502549
1763529635.227915,2025-11-19T16:20:35.227915,0.1502656,0.1502656
1763529635.2663798,2025-11-19T16:20:35.266380,0.1502656,0.1502656
1763529635.316216,2025-11-19T16:20:35.316216,0.1502656,0.1502656
1763529635.3655784,2025-11-19T16:20:35.365578,0.1502656,0.1502656
1763529635.4159882,2025-11-19T16:20:35.415988,0.1502656,0.1502656
1763529635.4660816,2025-11-19T16:20:35.466082,0.1502656,0.1502656
1763529635.5275111,2025-11-19T16:20:35.527511,0.1500628,0.1500628
1763529635.5657482,2025-11-19T16:20:35.565748,0.1500628,0.1500628
1763529635.6163526,2025-11-19T16:20:35.616353,0.1500628,0.1500628
1763529635.6672783,2025-11-19T16:20:35.667279,0.1500628,0.1500628
1763529635.7155914,2025-11-19T16:20:35.715591,0.1500628,0.1500628
1763529635.7668836,2025-11-19T16:20:35.766884,0.1500628,0.1500628
1763529635.8159616,2025-11-19T16:20:35.815962,0.1500628,0.1500628
1763529635.8658986,2025-11-19T16:20:35.865899,0.1500628,0.1500628
1763529635.9154506,2025-11-19T16:20:35.915451,0.1500628,0.1500628
1763529635.9756467,2025-11-19T16:20:35.975647,0.151125,0.151125
1763529636.0156124,2025-11-19T16:20:36.015612,0.151125,0.151125
1763529636.0658455,2025-11-19T16:20:36.065846,0.151125,0.151125
1763529636.1167872,2025-11-19T16:20:36.116787,0.151125,0.151125
1763529636.1653843,2025-11-19T16:20:36.165385,0.151125,0.151125
1763529636.2168128,2025-11-19T16:20:36.216813,0.151125,0.151125
1763529636.2750916,2025-11-19T16:20:36.275092,0.1583957,0.1583957
1763529636.3161693,2025-11-19T16:20:36.316169,0.1583957,0.1583957
1763529636.366402,2025-11-19T16:20:36.366402,0.1583957,0.1583957
1763529636.4156232,2025-11-19T16:20:36.415623,0.1583957,0.1583957
1763529636.4661117,2025-11-19T16:20:36.466112,0.1583957,0.1583957
1763529636.516201,2025-11-19T16:20:36.516201,0.1583957,0.1583957
1763529636.5746946,2025-11-19T16:20:36.574695,0.158321,0.158321
1763529636.6164467,2025-11-19T16:20:36.616447,0.158321,0.158321
1763529636.6661966,2025-11-19T16:20:36.666197,0.158321,0.158321
1763529636.7160745,2025-11-19T16:20:36.716074,0.158321,0.158321
1763529636.766557,2025-11-19T16:20:36.766557,0.158321,0.158321
1763529636.8158762,2025-11-19T16:20:36.815876,0.158321,0.158321
1763529636.874137,2025-11-19T16:20:36.874137,0.1581341,0.1581341
1763529636.916829,2025-11-19T16:20:36.916829,0.1581341,0.1581341
1763529636.9669724,2025-11-19T16:20:36.966972,0.1581341,0.1581341
1763529637.0163066,2025-11-19T16:20:37.016307,0.1581341,0.1581341
1763529637.066103,2025-11-19T16:20:37.066103,0.1581341,0.1581341
1763529637.1157207,2025-11-19T16:20:37.115721,0.1581341,0.1581341
1763529637.1662002,2025-11-19T16:20:37.166200,0.1581341,0.1581341
1763529637.215531,2025-11-19T16:20:37.215531,0.1581341,0.1581341
1763529637.265978,2025-11-19T16:20:37.265978,0.1581341,0.1581341
1763529637.3230896,2025-11-19T16:20:37.323090,0.1590185,0.1590185
1763529637.365824,2025-11-19T16:20:37.365824,0.1590185,0.1590185
1763529637.4166791,2025-11-19T16:20:37.416679,0.1590185,0.1590185
1763529637.465623,2025-11-19T16:20:37.465623,0.1590185,0.1590185
1763529637.5162158,2025-11-19T16:20:37.516216,0.1590185,0.1590185
1763529637.5659077,2025-11-19T16:20:37.565908,0.1590185,0.1590185
1763529637.6221726,2025-11-19T16:20:37.622173,0.1586626,0.1586626
1763529637.666429,2025-11-19T16:20:37.666429,0.1586626,0.1586626
1763529637.7156742,2025-11-19T16:20:37.715674,0.1586626,0.1586626
1763529637.766009,2025-11-19T16:20:37.766009,0.1586626,0.1586626
1763529637.815086,2025-11-19T16:20:37.815086,0.1586626,0.1586626
1763529637.8661728,2025-11-19T16:20:37.866173,0.1586626,0.1586626
1763529637.9211593,2025-11-19T16:20:37.921159,0.1586466,0.1586466
1763529637.966441,2025-11-19T16:20:37.966441,0.1586466,0.1586466
1763529638.0161543,2025-11-19T16:20:38.016155,0.1586466,0.1586466
1763529638.0659597,2025-11-19T16:20:38.065959,0.1586466,0.1586466
1763529638.1166866,2025-11-19T16:20:38.116687,0.1586466,0.1586466
1763529638.1659143,2025-11-19T16:20:38.165915,0.1586466,0.1586466
1763529638.2208138,2025-11-19T16:20:38.220814,0.1586466,0.1586466
1763529638.266482,2025-11-19T16:20:38.266482,0.1586466,0.1586466
1763529638.316126,2025-11-19T16:20:38.316126,0.1586466,0.1586466
