epoch_s,iso_time,value,raw
1763098412.2747097,2025-11-14T16:33:32.274710,0.5379176,5.379176E-01
1763098412.3250878,2025-11-14T16:33:32.325088,0.5379176,5.379176E-01
1763098412.376774,2025-11-14T16:33:32.376774,0.4450038,4.450038E-01
1763098412.425638,2025-11-14T16:33:32.425638,0.4450038,4.450038E-01
1763098412.4890058,2025-11-14T16:33:32.489006,0.4450038,4.450038E-01
1763098412.5248973,2025-11-14T16:33:32.524897,0.4450038,4.450038E-01
1763098412.575862,2025-11-14T16:33:32.575862,0.4450038,4.450038E-01
1763098412.6762698,2025-11-14T16:33:32.676270,0.332048,3.320480E-01
1763098412.6911695,2025-11-14T16:33:32.691170,0.332048,3.320480E-01
1763098412.725364,2025-11-14T16:33:32.725364,0.332048,3.320480E-01
1763098412.7883282,2025-11-14T16:33:32.788328,0.332048,3.320480E-01
1763098412.8256974,2025-11-14T16:33:32.825697,0.332048,3.320480E-01
1763098412.8747582,2025-11-14T16:33:32.874758,0.332048,3.320480E-01
1763098412.9745924,2025-11-14T16:33:32.974592,0.4435249,4.435249E-01
1763098412.9794123,2025-11-14T16:33:32.979412,0.4435249,4.435249E-01
1763098413.0254366,2025-11-14T16:33:33.025437,0.4435249,4.435249E-01
1763098413.0867836,2025-11-14T16:33:33.086784,0.4435249,4.435249E-01
1763098413.1248066,2025-11-14T16:33:33.124807,0.4435249,4.435249E-01
1763098413.1750436,2025-11-14T16:33:33.175044,0.4435249,4.435249E-01
1763098413.236391,2025-11-14T16:33:33.236391,0.4435249,4.435249E-01
1763098413.2751925,2025-11-14T16:33:33.275192,0.4435249,4.435249E-01
1763098413.325375,2025-11-14T16:33:33.325375,0.4435249,4.435249E-01
1763098413.422732,2025-11-14T16:33:33.422732,0.652703,6.527030E-01
1763098413.4277775,2025-11-14T16:33:33.427778,0.652703,6.527030E-01
1763098413.4753385,2025-11-14T16:33:33.475338,0.652703,6.527030E-01
1763098413.535451,2025-11-14T16:33:33.535451,0.652703,6.527030E-01
1763098413.5753012,2025-11-14T16:33:33.575301,0.652703,6.527030E-01
1763098413.6254997,2025-11-14T16:33:33.625500,0.652703,6.527030E-01
1763098413.722197,2025-11-14T16:33:33.722197,0.7158633,7.158633E-01
1763098413.7273035,2025-11-14T16:33:33.727304,0.7158633,7.158633E-01
1763098413.7753205,2025-11-14T16:33:33.775321,0.7158633,7.158633E-01
1763098413.834508,2025-11-14T16:33:33.834508,0.7158633,7.158633E-01
1763098413.8757062,2025-11-14T16:33:33.875706,0.7158633,7.158633E-01
1763098413.9255378,2025-11-14T16:33:33.925538,0.7158633,7.158633E-01
1763098414.020987,2025-11-14T16:33:34.020987,0.6093872,6.093872E-01
1763098414.0263498,2025-11-14T16:33:34.026350,0.6093872,6.093872E-01
