TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RightHip_pos_deg,RightHip_spd_eRPM,RightHip_spd_mech_RPM,RightHip_current_A,RightHip_temp_C,RightHip_err_code,RightHip_err_text,RightKnee_pos_deg,RightKnee_spd_eRPM,RightKnee_spd_mech_RPM,RightKnee_current_A,RightKnee_temp_C,RightKnee_err_code,RightKnee_err_text,LeftKnee_pos_deg,LeftKnee_spd_eRPM,LeftKnee_spd_mech_RPM,LeftKnee_current_A,LeftKnee_temp_C,LeftKnee_err_code,LeftKnee_err_text,LeftHip_pos_deg,LeftHip_spd_eRPM,LeftHip_spd_mech_RPM,LeftHip_current_A,LeftHip_temp_C,LeftHip_err_code,LeftHip_err_text
0,10011363,0,50,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,-5.9,0.0,0.0,0.0,27,0,OK,-0.1,0.0,0.0,0.0,30,0,OK
5,10022728,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.5,0.0,0.0,0.4,27,0,OK,-5.9,20.0,0.952,1.1,27,0,OK,-0.1,0.0,0.0,0.06,31,0,OK
10,10033832,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.5,0.0,0.0,0.4,27,0,OK,-5.9,20.0,0.952,1.1,27,0,OK,-0.1,-10.0,-0.476,-0.06,31,0,OK
15,10044728,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.3,-240.0,-11.429,0.94,27,0,OK,-5.1,1190.0,56.667,1.59,27,0,OK,-0.1,-10.0,-0.476,-0.06,31,0,OK
20,10055944,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.3,-70.0,-3.333,0.59,27,0,OK,-4.5,1000.0,47.619,0.86,27,0,OK,-0.1,-90.0,-4.286,0.12,31,0,OK
25,10066727,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.3,-70.0,-3.333,0.59,27,0,OK,-4.5,1000.0,47.619,0.86,27,0,OK,-0.1,-90.0,-4.286,0.12,31,0,OK
30,10077728,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.3,40.0,1.905,0.42,27,0,OK,-3.7,1310.0,62.381,0.24,27,0,OK,-0.5,-570.0,-27.143,-0.08,31,0,OK
35,10088727,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.3,40.0,1.905,0.42,27,0,OK,-3.7,1310.0,62.381,0.24,27,0,OK,-0.5,-570.0,-27.143,-0.08,31,0,OK
40,10099728,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.3,80.0,3.81,0.16,27,0,OK,-2.9,1050.0,50.0,0.12,27,0,OK,-0.8,-460.0,-21.905,0.13,31,0,OK
45,10110727,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.3,80.0,3.81,0.16,27,0,OK,-2.9,1050.0,50.0,0.12,27,0,OK,-0.8,-460.0,-21.905,0.13,31,0,OK
50,10121728,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.4,30.0,1.429,0.22,27,0,OK,-2.4,850.0,40.476,-0.1,27,0,OK,-1.1,-460.0,-21.905,0.21,31,0,OK
55,10132836,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.4,30.0,1.429,0.22,27,0,OK,-2.4,850.0,40.476,-0.1,27,0,OK,-1.4,-360.0,-17.143,0.54,31,0,OK
60,10143727,0,50,1.8,-10.0,-0.476,0.28,31,0,OK,2.3,-10.0,-0.476,0.54,27,0,OK,-2.1,460.0,21.905,-0.14,27,0,OK,-1.4,-360.0,-17.143,0.54,31,0,OK
