TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
0,10011363,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,197,0,0,0,0,27,0,255,255,0,0,0,0,30,0
5,10022728,0,50,0,18,255,255,0,28,31,0,0,25,0,0,0,40,27,0,255,197,0,2,0,110,27,0,255,255,0,0,0,6,31,0
10,10033832,0,50,0,18,255,255,0,28,31,0,0,25,0,0,0,40,27,0,255,197,0,2,0,110,27,0,255,255,255,255,255,250,31,0
15,10044728,0,50,0,18,255,255,0,28,31,0,0,23,255,232,0,94,27,0,255,205,0,119,0,159,27,0,255,255,255,255,255,250,31,0
20,10055944,0,50,0,18,255,255,0,28,31,0,0,23,255,249,0,59,27,0,255,211,0,100,0,86,27,0,255,255,255,247,0,12,31,0
25,10066727,0,50,0,18,255,255,0,28,31,0,0,23,255,249,0,59,27,0,255,211,0,100,0,86,27,0,255,255,255,247,0,12,31,0
30,10077728,0,50,0,18,255,255,0,28,31,0,0,23,0,4,0,42,27,0,255,219,0,131,0,24,27,0,255,251,255,199,255,248,31,0
35,10088727,0,50,0,18,255,255,0,28,31,0,0,23,0,4,0,42,27,0,255,219,0,131,0,24,27,0,255,251,255,199,255,248,31,0
40,10099728,0,50,0,18,255,255,0,28,31,0,0,23,0,8,0,16,27,0,255,227,0,105,0,12,27,0,255,248,255,210,0,13,31,0
45,10110727,0,50,0,18,255,255,0,28,31,0,0,23,0,8,0,16,27,0,255,227,0,105,0,12,27,0,255,248,255,210,0,13,31,0
50,10121728,0,50,0,18,255,255,0,28,31,0,0,24,0,3,0,22,27,0,255,232,0,85,255,246,27,0,255,245,255,210,0,21,31,0
55,10132836,0,50,0,18,255,255,0,28,31,0,0,24,0,3,0,22,27,0,255,232,0,85,255,246,27,0,255,242,255,220,0,54,31,0
60,10143727,0,50,0,18,255,255,0,28,31,0,0,23,255,255,0,54,27,0,255,235,0,46,255,242,27,0,255,242,255,220,0,54,31,0
65,10155049,0,50,0,18,0,0,255,254,32,0,0,24,0,7,0,73,27,0,255,237,0,16,255,253,27,0,255,241,255,229,0,59,31,0
70,10165728,0,50,0,18,0,0,255,254,32,0,0,24,0,7,0,73,27,0,255,237,0,16,255,253,27,0,255,241,255,229,0,59,31,0
75,10176728,0,50,0,18,0,0,255,245,32,0,0,26,0,45,0,39,27,0,255,237,0,0,0,0,27,0,255,241,255,255,0,108,31,0
80,10187727,0,50,0,18,0,0,255,245,32,0,0,26,0,45,0,39,27,0,255,237,0,0,0,0,27,0,255,241,255,255,0,108,31,0
85,10198727,0,50,0,18,0,0,255,237,32,0,0,29,0,51,0,44,27,0,255,237,0,0,255,251,27,0,255,241,0,0,0,131,31,0
90,10209727,0,50,0,18,0,0,255,237,32,0,0,29,0,51,0,44,27,0,255,237,0,0,255,251,27,0,255,241,0,0,0,131,31,0
95,10220728,0,50,0,18,255,253,0,38,32,0,0,34,0,73,0,38,27,0,255,237,0,0,0,16,27,0,255,240,255,255,0,151,31,0
100,10231728,0,50,0,18,255,253,0,38,32,0,0,34,0,73,0,38,27,0,255,237,0,0,0,16,27,0,255,240,255,255,0,151,31,0
105,10242728,0,50,0,18,255,255,0,52,32,0,0,39,0,77,0,52,27,0,255,237,255,255,0,25,27,0,255,240,255,252,0,170,31,0
110,10253832,0,50,0,18,255,255,0,52,32,0,0,39,0,77,0,52,27,0,255,237,255,255,0,25,27,0,255,239,255,233,0,167,31,0
115,10264728,0,50,0,18,255,255,0,52,32,0,0,44,0,71,0,74,27,0,255,237,255,254,0,39,27,0,255,239,255,233,0,167,31,0
120,10275945,0,50,0,18,255,255,0,52,32,0,0,48,0,68,0,88,27,0,255,237,0,0,0,54,27,0,255,239,255,251,0,201,31,0
125,10286728,0,50,0,18,255,255,0,52,32,0,0,48,0,68,0,88,27,0,255,237,0,0,0,54,27,0,255,239,255,251,0,201,31,0
130,10297728,0,50,0,18,255,255,0,52,32,0,0,53,0,69,0,105,27,0,255,236,255,252,0,55,27,0,255,237,255,221,0,204,31,0
135,10308727,0,50,0,18,255,255,0,52,32,0,0,53,0,69,0,105,27,0,255,236,255,252,0,55,27,0,255,237,255,221,0,204,31,0
140,10319728,0,50,0,18,255,255,0,52,32,0,0,57,0,70,0,87,27,0,255,235,255,247,0,79,27,0,255,236,255,235,0,225,31,0
145,10330727,0,50,0,18,255,255,0,52,32,0,0,57,0,70,0,87,27,0,255,235,255,247,0,79,27,0,255,236,255,235,0,225,31,0
150,10341727,0,50,0,15,0,0,0,141,32,0,0,57,0,70,0,87,27,0,255,235,255,252,0,80,27,0,255,236,255,251,0,249,31,0
155,10352836,0,50,0,15,0,0,0,141,32,0,0,57,0,70,0,87,27,0,255,235,255,252,0,80,27,0,255,233,255,213,0,230,31,0
160,10363728,0,50,0,15,0,0,0,158,32,0,0,57,0,70,0,87,27,0,255,234,255,233,0,47,27,0,255,233,255,213,0,230,31,0
165,10374941,0,50,0,15,0,0,0,158,32,0,0,70,0,69,0,130,27,0,255,234,255,253,0,96,27,0,255,231,255,220,0,233,31,0
170,10385727,0,50,0,15,0,0,0,166,32,0,0,70,0,69,0,130,27,0,255,234,255,253,0,96,27,0,255,231,255,220,0,233,31,0
175,10396832,0,50,0,15,0,0,0,178,32,0,0,75,0,73,0,113,27,0,255,233,255,252,0,106,27,0,255,229,255,232,1,52,31,0
180,10407727,0,50,0,15,0,0,0,178,32,0,0,75,0,73,0,113,27,0,255,233,255,252,0,106,27,0,255,229,255,232,1,52,31,0
185,10418727,0,50,0,15,0,1,0,190,32,0,0,79,0,74,0,121,27,0,255,233,255,242,0,88,27,0,255,228,255,213,1,22,31,0
190,10429727,0,50,0,15,0,1,0,190,32,0,0,79,0,74,0,121,27,0,255,233,255,242,0,88,27,0,255,228,255,213,1,22,31,0
195,10440727,0,50,0,15,0,1,0,203,32,0,0,84,0,81,0,118,27,0,255,232,255,253,0,125,27,0,255,225,255,216,1,17,31,0
200,10451727,0,50,0,15,0,1,0,203,32,0,0,84,0,81,0,118,27,0,255,232,255,253,0,125,27,0,255,225,255,216,1,17,31,0
205,10462728,0,50,0,15,0,2,0,217,32,0,0,90,0,83,0,148,27,0,255,232,255,251,0,132,27,0,255,223,255,227,1,66,31,0
210,10473832,0,50,0,15,0,2,0,217,32,0,0,90,0,83,0,148,27,0,255,232,255,251,0,132,27,0,255,220,255,214,1,59,31,0
215,10484728,0,50,0,15,0,2,0,217,32,0,0,95,0,88,0,134,27,0,255,231,255,230,0,127,27,0,255,220,255,214,1,59,31,0
220,10496053,0,50,0,17,0,28,0,240,32,0,0,101,0,87,0,156,27,0,255,230,255,248,0,134,27,0,255,218,255,216,1,81,31,0
225,10506728,0,50,0,17,0,28,0,240,32,0,0,101,0,87,0,156,27,0,255,230,255,248,0,134,27,0,255,218,255,216,1,81,31,0
230,10517727,0,50,0,17,0,4,0,252,32,0,0,106,0,84,0,147,27,0,255,228,255,232,0,136,27,0,255,216,255,225,1,37,31,0
235,10528727,0,50,0,17,0,4,0,252,32,0,0,106,0,84,0,147,27,0,255,228,255,232,0,136,27,0,255,216,255,225,1,37,31,0
240,10539727,0,50,0,18,0,27,1,12,32,0,0,111,0,80,0,147,27,0,255,226,255,215,0,121,27,0,255,213,255,214,1,54,31,0
245,10550728,0,50,0,18,0,27,1,12,32,0,0,111,0,80,0,147,27,0,255,226,255,215,0,121,27,0,255,213,255,214,1,54,31,0
250,10561727,0,50,0,19,0,22,0,213,32,0,0,116,0,81,0,140,27,0,255,223,255,216,0,119,27,0,255,210,255,218,1,102,31,0
255,10572836,0,50,0,19,0,22,0,213,32,0,0,116,0,81,0,140,27,0,255,223,255,216,0,119,27,0,255,207,255,214,1,123,31,0
260,10583728,0,50,0,21,0,34,0,234,32,0,0,121,0,79,0,172,27,0,255,221,255,227,0,98,27,0,255,207,255,214,1,123,31,0
265,10594941,0,50,0,21,0,34,0,234,32,0,0,126,0,75,0,176,27,0,255,219,255,224,0,152,27,0,255,203,255,207,1,116,31,0
270,10605728,0,50,0,22,0,24,0,219,32,0,0,126,0,75,0,176,27,0,255,219,255,224,0,152,27,0,255,203,255,207,1,116,31,0
275,10616831,0,50,0,25,0,37,1,9,32,0,0,131,0,78,0,181,27,0,255,217,255,220,0,137,27,0,255,200,255,206,1,97,31,0
280,10627727,0,50,0,25,0,37,1,9,32,0,0,131,0,78,0,181,27,0,255,217,255,220,0,137,27,0,255,200,255,206,1,97,31,0
285,10638727,0,50,0,26,0,20,1,30,32,0,0,135,0,69,0,181,27,0,255,216,255,234,0,141,27,0,255,196,255,203,1,65,31,0
290,10649727,0,50,0,26,0,20,1,30,32,0,0,135,0,69,0,181,27,0,255,216,255,234,0,141,27,0,255,196,255,203,1,65,31,0
295,10660728,0,50,0,29,0,41,0,252,32,0,0,140,0,75,0,183,27,0,255,213,255,219,0,112,27,0,255,193,255,203,1,61,31,0
300,10671727,0,50,0,29,0,41,0,252,32,0,0,140,0,75,0,183,27,0,255,213,255,219,0,112,27,0,255,193,255,203,1,61,31,0
305,10682728,0,50,0,31,0,35,0,240,32,0,0,145,0,75,0,199,27,0,255,211,255,216,0,127,27,0,255,189,255,189,1,96,31,0
310,10693832,0,50,0,31,0,35,0,240,32,0,0,145,0,75,0,199,27,0,255,211,255,216,0,127,27,0,255,185,255,193,1,126,31,0
315,10704727,0,50,0,31,0,35,0,240,32,0,0,150,0,77,0,192,27,0,255,209,255,237,0,159,27,0,255,185,255,193,1,126,31,0
320,10716054,0,50,0,35,0,30,1,33,32,0,0,155,0,81,0,239,27,0,255,208,255,235,0,154,27,0,255,181,255,197,1,122,31,0
325,10726727,0,50,0,35,0,30,1,33,32,0,0,155,0,81,0,239,27,0,255,208,255,235,0,154,27,0,255,181,255,197,1,122,31,0
330,10737728,0,50,0,36,0,20,1,26,32,0,0,160,0,76,0,231,27,0,255,206,255,240,0,161,27,0,255,177,255,184,1,87,31,0
335,10748728,0,50,0,36,0,20,1,26,32,0,0,160,0,76,0,231,27,0,255,206,255,240,0,161,27,0,255,177,255,184,1,87,31,0
340,10759728,0,50,0,38,0,23,1,18,32,0,0,165,0,85,0,204,27,0,255,204,255,224,0,131,27,0,255,172,255,191,1,91,31,0
345,10770728,0,50,0,38,0,23,1,18,32,0,0,165,0,85,0,204,27,0,255,204,255,224,0,131,27,0,255,172,255,191,1,91,31,0
350,10781728,0,50,0,40,0,38,1,14,32,0,0,170,0,84,0,235,27,0,255,203,255,237,0,132,27,0,255,168,255,188,1,113,31,0
355,10792836,0,50,0,40,0,38,1,14,32,0,0,170,0,84,0,235,27,0,255,203,255,237,0,132,27,0,255,164,255,192,1,114,31,0
360,10803727,0,50,0,42,0,36,1,33,32,0,0,176,0,87,0,213,27,0,255,200,255,223,0,168,27,0,255,164,255,192,1,114,31,0
365,10814941,0,50,0,42,0,36,1,33,32,0,0,181,0,80,0,235,27,0,255,198,255,216,0,142,27,0,255,160,255,199,1,115,31,0
370,10825727,0,50,0,45,0,32,1,10,32,0,0,181,0,80,0,235,27,0,255,198,255,216,0,142,27,0,255,160,255,199,1,115,31,0
