TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
0,718941,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,919886,6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1120886,11,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1321886,16,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1522886,21,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1723886,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1924886,31,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2125886,36,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2326886,41,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2527886,46,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2729315,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,76,253,179,254,153,34,0,0,80,0,232,1,97,42,0
55,2931315,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,136,0,129,255,175,34,0,0,83,0,2,1,87,42,0
60,3133315,61,11,0,0,0,0,0,0,0,0,0,83,255,126,2,152,36,0,255,184,0,39,255,210,34,0,0,85,0,30,0,219,42,0
65,3335315,66,16,0,221,0,67,7,103,46,0,0,66,255,133,2,212,36,0,255,190,0,40,255,197,34,0,0,77,255,195,0,126,42,0
70,3537315,71,21,0,230,0,74,6,232,46,0,0,66,255,133,2,212,36,0,255,202,255,255,0,55,34,0,0,33,255,155,0,146,42,0
75,3739314,76,26,0,230,0,74,6,232,46,0,0,66,255,133,2,212,36,0,255,198,255,209,0,108,34,0,255,229,255,144,0,120,42,0
80,3941314,81,31,0,230,0,74,6,232,46,0,0,66,255,133,2,212,36,0,255,178,255,219,0,185,34,0,255,181,255,188,1,25,42,0
85,4143315,86,36,0,230,0,74,6,232,46,0,0,66,255,133,2,212,36,0,255,165,255,242,1,30,34,0,255,151,255,236,2,42,42,0
90,4345315,91,41,0,230,0,74,6,232,46,0,0,66,255,133,2,212,36,0,255,156,0,0,1,141,34,0,255,140,255,248,3,60,42,0
95,4547315,96,46,0,230,0,74,6,232,46,0,0,66,255,133,2,212,36,0,255,156,0,0,1,195,34,0,255,130,255,252,3,154,42,0
100,4749315,1,51,0,230,0,74,6,232,46,0,0,66,255,133,2,212,36,0,255,157,0,2,1,28,34,0,255,122,255,224,3,34,42,0
105,4951314,6,56,0,230,0,74,6,232,46,0,0,66,255,133,2,212,36,0,255,186,0,78,1,11,34,0,255,112,255,231,3,6,42,0
110,5153315,11,61,0,230,0,74,6,232,46,0,0,182,255,247,0,151,36,0,255,247,0,86,0,230,34,0,255,109,255,237,2,251,42,0
115,5355315,16,66,0,111,255,255,1,98,46,0,0,177,255,214,0,188,36,0,255,254,0,11,0,129,34,0,255,104,0,69,3,85,42,0
120,5557315,21,71,0,111,255,254,1,173,46,0,0,177,255,214,0,188,36,0,255,93,254,232,2,15,34,0,255,147,0,84,3,85,42,0
125,5759315,26,76,0,111,255,254,1,173,46,0,0,177,255,214,0,188,36,0,254,198,254,250,2,85,34,0,255,192,0,107,2,86,42,0
130,5961315,31,81,0,111,255,254,1,173,46,0,0,177,255,214,0,188,36,0,254,76,255,86,2,58,34,0,255,249,0,120,254,251,42,0
135,6163315,36,86,0,111,255,254,1,173,46,0,0,177,255,214,0,188,36,0,254,27,255,252,2,38,34,0,0,62,0,112,0,51,42,0
140,6365315,41,91,0,111,255,254,1,173,46,0,0,177,255,214,0,188,36,0,254,67,0,168,254,57,34,0,0,134,0,93,0,38,42,0
145,6567315,46,96,0,111,255,254,1,173,46,0,0,177,255,214,0,188,36,0,254,199,0,224,254,99,34,0,0,168,0,36,0,18,42,0
150,6769315,51,1,0,111,255,254,1,173,46,0,0,177,255,214,0,188,36,0,255,65,0,154,255,71,34,0,0,167,255,211,255,246,42,0
155,6971315,56,6,0,111,255,254,1,173,46,0,0,177,255,214,0,188,36,0,255,143,0,77,255,210,34,0,0,127,255,180,255,125,42,0
160,7173315,61,11,0,111,255,254,1,173,46,0,0,89,255,159,2,66,36,0,255,176,0,51,0,9,34,0,0,116,255,176,255,111,42,0
165,7375315,66,16,1,8,255,248,6,115,46,0,0,79,255,186,2,20,36,0,255,177,0,2,0,64,34,0,0,21,255,192,0,248,42,0
170,7577315,71,21,1,4,255,230,6,89,46,0,0,79,255,186,2,20,36,0,255,193,0,10,0,13,34,0,255,251,255,211,0,46,42,0
175,7779315,76,26,1,4,255,230,6,89,46,0,0,79,255,186,2,20,36,0,255,196,0,0,0,140,34,0,255,241,255,236,1,45,42,0
180,7981315,81,31,1,4,255,230,6,89,46,0,0,79,255,186,2,20,36,0,255,194,255,241,1,37,34,0,255,227,255,200,2,88,42,0
185,8183315,86,36,1,4,255,230,6,89,46,0,0,79,255,186,2,20,36,0,255,176,255,205,1,82,34,0,255,193,255,185,2,252,42,0
190,8385315,91,41,1,4,255,230,6,89,46,0,0,79,255,186,2,20,36,0,255,156,255,203,1,93,34,0,255,139,255,185,2,216,42,0
195,8587315,96,46,1,4,255,230,6,89,46,0,0,79,255,186,2,20,36,0,255,140,255,243,1,52,34,0,255,96,255,208,2,126,42,0
200,8789315,1,51,1,4,255,230,6,89,46,0,0,79,255,186,2,20,36,0,255,142,0,28,0,247,34,0,255,85,0,1,2,30,42,0
205,8991315,6,56,1,4,255,230,6,89,46,0,0,79,255,186,2,20,36,0,255,187,0,79,0,235,34,0,255,98,0,37,2,191,42,0
210,9193315,11,61,1,4,255,230,6,89,46,0,0,172,255,234,0,215,36,0,255,254,0,73,0,235,34,0,255,102,0,23,3,59,42,0
215,9395315,16,66,0,110,0,32,1,75,46,0,0,171,255,252,0,195,36,0,0,0,255,255,0,143,34,0,255,126,0,3,3,200,42,0
220,9597315,21,71,0,113,0,15,1,162,46,0,0,171,255,252,0,195,36,0,255,93,254,226,2,19,34,0,255,149,0,65,3,5,42,0
225,9799315,26,76,0,113,0,15,1,162,46,0,0,171,255,252,0,195,36,0,254,192,254,243,2,8,34,0,255,174,0,87,1,195,42,0
230,10001315,31,81,0,113,0,15,1,162,46,0,0,171,255,252,0,195,36,0,254,68,255,88,2,48,34,0,255,229,0,128,255,131,42,0
235,10203314,36,86,0,113,0,15,1,162,46,0,0,171,255,252,0,195,36,0,254,28,0,12,2,55,34,0,0,61,0,159,0,11,42,0
240,10405315,41,91,0,113,0,15,1,162,46,0,0,171,255,252,0,195,36,0,254,75,0,180,254,7,34,0,0,153,0,115,255,172,42,0
245,10607315,46,96,0,113,0,15,1,162,46,0,0,171,255,252,0,195,36,0,254,204,0,225,254,95,34,0,0,187,0,11,0,116,42,0
250,10809315,51,1,0,113,0,15,1,162,46,0,0,171,255,252,0,195,36,0,255,65,0,161,255,58,34,0,0,168,255,190,255,240,42,0
255,11011315,56,6,0,113,0,15,1,162,46,0,0,171,255,252,0,195,36,0,255,138,0,73,255,224,34,0,0,114,255,174,0,208,42,0
260,11213314,61,11,0,113,0,15,1,162,46,0,0,88,255,171,2,55,36,0,255,168,0,12,0,101,34,0,0,100,255,153,1,39,42,0
265,11415315,66,16,1,4,255,248,6,126,47,0,0,77,255,181,2,55,36,0,255,171,0,12,0,113,34,0,0,16,255,224,0,253,42,0
270,11617315,71,21,1,1,255,249,6,127,47,0,0,77,255,181,2,55,36,0,255,199,0,23,0,62,34,0,0,5,255,247,0,46,42,0
275,11819315,76,26,1,1,255,249,6,127,47,0,0,77,255,181,2,55,36,0,255,199,0,0,0,160,34,0,0,1,255,243,1,187,42,0
280,12021315,81,31,1,1,255,249,6,127,47,0,0,77,255,181,2,55,36,0,255,195,255,241,1,40,34,0,255,234,255,185,2,105,42,0
285,12223315,86,36,1,1,255,249,6,127,47,0,0,77,255,181,2,55,36,0,255,174,255,214,1,57,34,0,255,184,255,151,2,213,42,0
