TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RightHip_pos_deg,RightHip_spd_eRPM,RightHip_spd_mech_RPM,RightHip_current_A,RightHip_temp_C,RightHip_err_code,RightHip_err_text,RightKnee_pos_deg,RightKnee_spd_eRPM,RightKnee_spd_mech_RPM,RightKnee_current_A,RightKnee_temp_C,RightKnee_err_code,RightKnee_err_text,LeftKnee_pos_deg,LeftKnee_spd_eRPM,LeftKnee_spd_mech_RPM,LeftKnee_current_A,LeftKnee_temp_C,LeftKnee_err_code,LeftKnee_err_text,LeftHip_pos_deg,LeftHip_spd_eRPM,LeftHip_spd_mech_RPM,LeftHip_current_A,LeftHip_temp_C,LeftHip_err_code,LeftHip_err_text
0,718941,1,51,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
5,919886,6,56,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
10,1120886,11,61,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
15,1321886,16,66,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
20,1522886,21,71,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
25,1723886,26,76,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
30,1924886,31,81,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
35,2125886,36,86,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
40,2326886,41,91,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
45,2527886,46,96,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK
50,2729315,51,1,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,-18.0,-5890.0,-280.476,-3.59,34,0,OK,8.0,2320.0,110.476,3.53,42,0,OK
55,2931315,56,6,0.0,0.0,0.0,0.0,0,0,OK,0.0,0.0,0.0,0.0,0,0,OK,-12.0,1290.0,61.429,-0.81,34,0,OK,8.3,20.0,0.952,3.43,42,0,OK
60,3133315,61,11,0.0,0.0,0.0,0.0,0,0,OK,8.3,-1300.0,-61.905,6.64,36,0,OK,-7.2,390.0,18.571,-0.46,34,0,OK,8.5,300.0,14.286,2.19,42,0,OK
65,3335315,66,16,22.1,670.0,31.905,18.95,46,0,OK,6.6,-1230.0,-58.571,7.24,36,0,OK,-6.6,400.0,19.048,-0.59,34,0,OK,7.7,-610.0,-29.048,1.26,42,0,OK
70,3537315,71,21,23.0,740.0,35.238,17.68,46,0,OK,6.6,-1230.0,-58.571,7.24,36,0,OK,-5.4,-10.0,-0.476,0.55,34,0,OK,3.3,-1010.0,-48.095,1.46,42,0,OK
75,3739314,76,26,23.0,740.0,35.238,17.68,46,0,OK,6.6,-1230.0,-58.571,7.24,36,0,OK,-5.8,-470.0,-22.381,1.08,34,0,OK,-2.7,-1120.0,-53.333,1.2,42,0,OK
80,3941314,81,31,23.0,740.0,35.238,17.68,46,0,OK,6.6,-1230.0,-58.571,7.24,36,0,OK,-7.8,-370.0,-17.619,1.85,34,0,OK,-7.5,-680.0,-32.381,2.81,42,0,OK
